method1_final_only,method2_final_age,method3_best_only,method4_best_age,method5_earliest,player_name,draft_year,pick,best_ppg,hit24,num_seasons,final_year,final_yards,best_year,best_yards
0.5327510917030568,0.42620087336244544,0.5327510917030568,0.42620087336244544,0.33227383863080684,T.J. Logan,2017,179,0.6411764705882353,0,3,2016,244,2016,244
0.695906432748538,0.5567251461988304,1.2648648648648648,1.2648648648648648,1.2648648648648648,Elijah McGuire,2017,188,5.052941176470589,0,3,2016,238,2014,468
1.3799126637554586,1.3799126637554586,1.3799126637554586,1.3799126637554586,0.4782178217821782,Saquon Barkley,2018,2,26.80588235294117,1,3,2017,632,2017,632
0.5357142857142857,0.48214285714285715,0.875,0.875,0.5238095238095238,Rashaad Penny,2018,27,7.158823529411765,0,3,2017,135,2016,224
0.31475409836065577,0.25180327868852465,0.8256880733944955,0.8256880733944955,0.3621118012422361,Sony Michel,2018,31,12.388235294117647,1,4,2017,96,2015,270
0.09836065573770492,0.08852459016393442,0.6614906832298136,0.7937888198757763,0.7937888198757763,Nick Chubb,2018,35,16.552941176470586,1,4,2017,30,2014,213
0.5078534031413613,0.5078534031413613,0.5196078431372549,0.6235294117647059,0.6235294117647059,Kerryon Johnson,2018,43,8.200000000000001,0,3,2017,194,2015,159
0.41333333333333333,0.41333333333333333,0.41333333333333333,0.41333333333333333,0.3912751677852349,Derrius Guice,2018,59,3.3764705882352946,0,3,2017,124,2017,124
0.5273311897106109,0.4745980707395498,0.928,1.0208000000000002,0.39999999999999997,Royce Freeman,2018,71,8.364705882352942,0,4,2017,164,2015,348
0.9041095890410958,0.8136986301369863,0.9698681732580038,1.0668549905838043,1.0668549905838043,Ito Smith,2018,126,5.747058823529412,0,4,2017,396,2015,515
0.5552995391705069,0.44423963133640554,0.5552995391705069,0.44423963133640554,0.44423963133640554,Jordan Wilkins,2018,169,3.605882352941177,0,3,2017,241,2017,241
0.9373040752351097,0.9373040752351097,0.9373040752351097,0.9373040752351097,0.9373040752351097,John Kelly,2018,176,0.7117647058823531,0,2,2017,299,2017,299
0.430952380952381,0.3447619047619048,0.430952380952381,0.3447619047619048,0.3447619047619048,Boston Scott,2018,201,6.417647058823529,0,3,2017,181,2017,181
0.32831325301204817,0.26265060240963856,0.32831325301204817,0.26265060240963856,0.26265060240963856,Bo Scarbrough,2018,236,2.541176470588236,0,2,2017,109,2017,109
0.5986984815618221,0.5388286334056399,0.5986984815618221,0.5388286334056399,0.5301098901098901,Justin Jackson,2018,251,5.070588235294117,0,4,2017,276,2017,276
0.5639269406392694,0.5639269406392694,0.5639269406392694,0.5639269406392694,0.4776978417266187,Josh Jacobs,2019,24,19.31176470588236,1,3,2018,247,2018,247
0.36675461741424803,0.33007915567282325,0.36675461741424803,0.33007915567282325,0.33007915567282325,Miles Sanders,2019,53,14.4,1,3,2018,139,2018,139
0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.5465408805031446,Darrell Henderson,2019,70,10.08235294117647,0,3,2018,295,2018,295
0.0989010989010989,0.08901098901098901,0.5484764542936288,0.5484764542936288,0.4898907103825137,Devin Singletary,2019,74,13.958823529411765,1,3,2018,36,2017,198
0.4657534246575342,0.4191780821917808,0.4657534246575342,0.4191780821917808,0.4191780821917808,Damien Harris,2019,87,12.63529411764706,1,4,2018,204,2018,204
0.3760869565217391,0.3760869565217391,0.6325167037861915,0.6957683741648107,0.6957683741648107,Alexander Mattison,2019,102,8.08235294117647,0,3,2018,173,2017,284
1.0750605326876512,0.9675544794188862,1.098360655737705,1.098360655737705,0.6872117400419288,Tony Pollard,2019,128,15.647058823529411,1,3,2018,444,2017,536
0.11738148984198646,0.10564334085778782,0.16519823788546256,0.16519823788546256,0.10564334085778782,Ryquell Armstead,2019,140,3.011764705882353,0,4,2018,52,2017,75
0.20952380952380953,0.18857142857142858,0.5359116022099447,0.5359116022099447,0.5359116022099447,Qadree Ollison,2019,152,1.8058823529411765,0,4,2018,66,2017,194
0.23076923076923078,0.18461538461538463,0.23076923076923078,0.18461538461538463,0.18461538461538463,Jordan Scarlett,2019,154,0.0529411764705882,0,3,2018,84,2018,84
0.6309794988610479,0.6309794988610479,0.6309794988610479,0.6309794988610479,0.4703786191536749,Trayveon Williams,2019,182,1.2764705882352942,0,3,2018,277,2018,277
0.0912863070539419,0.0912863070539419,0.6023391812865497,0.7228070175438597,0.7228070175438597,Ty Johnson,2019,186,6.882352941176471,0,4,2018,22,2016,206
0.3181818181818182,0.2863636363636364,0.3181818181818182,0.2863636363636364,0.2863636363636364,Dexter Williams,2019,194,0.0647058823529411,0,3,2018,133,2018,133
0.523943661971831,0.523943661971831,0.523943661971831,0.523943661971831,0.5668235294117647,Travis Homer,2019,204,3.282352941176471,0,2,2018,186,2018,186
0.19012345679012346,0.17111111111111113,0.6666666666666666,0.6666666666666666,0.36936274509803924,Myles Gaskin,2019,234,10.211764705882352,0,4,2018,77,2017,232
0.798941798941799,0.798941798941799,0.798941798941799,0.798941798941799,0.798941798941799,Clyde Edwards-Helaire,2020,32,11.43529411764706,1,3,2019,453,2019,453
0.5204819277108433,0.5204819277108433,0.8342696629213483,0.9176966292134832,0.6019672131147541,D'Andre Swift,2020,35,12.617647058823527,1,3,2019,216,2018,297
0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,Jonathan Taylor,2020,41,21.947058823529414,1,3,2019,252,2019,252
0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.4034782608695652,Cam Akers,2020,52,8.588235294117647,0,3,2019,225,2019,225
0.6083743842364532,0.6083743842364532,0.6083743842364532,0.6083743842364532,0.36818181818181817,J.K. Dobbins,2020,55,11.43529411764706,1,3,2019,247,2019,247
1.6666666666666667,1.5,1.6666666666666667,1.5,1.5,Antonio Gibson,2020,66,13.476470588235296,1,2,2019,735,2019,735
0.24860335195530725,0.273463687150838,0.24860335195530725,0.273463687150838,0.273463687150838,Ke'Shawn Vaughn,2020,76,2.988235294117647,0,2,2016,89,2016,89
1.2087227414330217,1.0878504672897196,1.2087227414330217,1.0878504672897196,0.6259953161592506,Zack Moss,2020,86,9.976470588235294,0,4,2019,388,2019,388
0.16666666666666666,0.15,0.48009950248756217,0.48009950248756217,0.48009950248756217,Joshua Kelley,2020,112,4.776470588235294,0,2,2019,71,2018,193
0.5610278372591007,0.5049250535331906,0.5610278372591007,0.5049250535331906,0.4712195121951219,La'Mical Perine,2020,120,3.088235294117647,0,4,2019,262,2019,262
0.32036613272311215,0.32036613272311215,0.32036613272311215,0.32036613272311215,0.32036613272311215,DeeJay Dallas,2020,144,3.5352941176470587,0,3,2019,140,2019,140
1.2945736434108528,1.1651162790697676,2.9705882352941178,2.9705882352941178,2.9705882352941178,Malcolm Perry,2020,246,1.4529411764705882,0,2,2018,167,2017,303
1.0,0.8,1.0,0.8,0.6738916256157635,Najee Harris,2021,24,17.852941176470587,1,4,2020,425,2020,425
1.2,1.08,1.2,1.08,0.8487229862475442,Travis Etienne,2021,25,16.61176470588235,1,4,2020,588,2020,588
0.8543417366946778,0.8543417366946778,0.8543417366946778,0.8543417366946778,0.4491879350348028,Javonte Williams,2021,35,12.052941176470588,1,3,2020,305,2020,305
0.4222222222222222,0.38,0.4222222222222222,0.38,0.38,Trey Sermon,2021,88,3.164705882352941,0,1,2020,95,2020,95
