player_name,draft_year,college,season,cfbd_name,player_rec_yards,player_rec_tds,player_receptions,team_rec_yards,team_rec_tds,dominator_rating
Kyle Philips,2022,UCLA,2018,Kyle Philips,31.0,0.0,6.0,2853.0,13.0,0.5
Kyle Philips,2022,UCLA,2019,Kyle Philips,681.0,5.0,60.0,3066.0,22.0,22.5
Kyle Philips,2022,UCLA,2020,Kyle Philips,370.0,2.0,38.0,1571.0,18.0,17.3
Kyle Philips,2022,UCLA,2021,Kyle Philips,739.0,10.0,59.0,2714.0,23.0,35.4
Jalen Nailor,2022,Michigan State,2018,Jalen Nailor,138.0,2.0,8.0,2826.0,12.0,10.8
Jalen Nailor,2022,Michigan State,2019,Jalen Nailor,106.0,0.0,15.0,3182.0,17.0,1.7
Jalen Nailor,2022,Michigan State,2020,Jalen Nailor,515.0,4.0,26.0,1672.0,11.0,33.6
Jalen Nailor,2022,Michigan State,2021,Jalen Nailor,695.0,6.0,37.0,3298.0,27.0,21.6
Bo Melton,2022,Rutgers,2017,Bo Melton,83.0,0.0,4.0,1387.0,7.0,3.0
Bo Melton,2022,Rutgers,2018,Bo Melton,245.0,0.0,28.0,1585.0,5.0,7.7
Bo Melton,2022,Rutgers,2019,Bo Melton,427.0,2.0,30.0,1672.0,7.0,27.1
Bo Melton,2022,Rutgers,2020,Bo Melton,639.0,6.0,46.0,1787.0,14.0,39.3
Bo Melton,2022,Rutgers,2021,Bo Melton,618.0,3.0,55.0,2229.0,9.0,30.5
Samori Toure,2022,Nebraska,2021,Samori Toure,898.0,5.0,46.0,3197.0,14.0,31.9
Jaxon Smith-Njigba,2023,Ohio State,2020,Jaxon Smith-Njigba,49.0,1.0,10.0,2100.0,22.0,3.4
Jaxon Smith-Njigba,2023,Ohio State,2021,Jaxon Smith-Njigba,1606.0,9.0,95.0,4952.0,46.0,26.0
Jaxon Smith-Njigba,2023,Ohio State,2022,Jaxon Smith-Njigba,43.0,0.0,5.0,3878.0,42.0,0.6
Quentin Johnston,2023,TCU,2020,Quentin Johnston,487.0,2.0,22.0,1933.0,10.0,22.6
Quentin Johnston,2023,TCU,2021,Quentin Johnston,612.0,6.0,33.0,2838.0,19.0,26.6
Quentin Johnston,2023,TCU,2022,Quentin Johnston,1069.0,6.0,60.0,3926.0,33.0,22.7
Zay Flowers,2023,Boston Col.,2019,Zay Flowers,341.0,3.0,22.0,2288.0,20.0,15.0
Zay Flowers,2023,Boston Col.,2020,Zay Flowers,892.0,9.0,56.0,3126.0,23.0,33.8
Zay Flowers,2023,Boston Col.,2021,Zay Flowers,746.0,5.0,44.0,2217.0,13.0,36.1
Zay Flowers,2023,Boston Col.,2022,Zay Flowers,1077.0,12.0,78.0,2965.0,21.0,46.7
Jordan Addison,2023,USC,2022,Jordan Addison,875.0,8.0,59.0,4694.0,43.0,18.6
Jonathan Mingo,2023,Mississippi,2019,Jonathan Mingo,172.0,1.0,12.0,2328.0,11.0,8.2
Jonathan Mingo,2023,Mississippi,2020,Jonathan Mingo,379.0,3.0,27.0,3450.0,30.0,10.5
Jonathan Mingo,2023,Mississippi,2021,Jonathan Mingo,346.0,3.0,22.0,3573.0,21.0,12.0
Jonathan Mingo,2023,Mississippi,2022,Jonathan Mingo,862.0,5.0,51.0,3118.0,22.0,25.2
Jayden Reed,2023,Michigan State,2020,Jayden Reed,407.0,3.0,33.0,1672.0,11.0,25.8
Jayden Reed,2023,Michigan State,2021,Jayden Reed,1026.0,10.0,59.0,3298.0,27.0,34.1
Jayden Reed,2023,Michigan State,2022,Jayden Reed,636.0,5.0,55.0,2880.0,23.0,21.9
Rashee Rice,2023,SMU,2019,Rashee Rice,403.0,1.0,25.0,4018.0,35.0,6.4
Rashee Rice,2023,SMU,2020,Rashee Rice,683.0,5.0,48.0,3180.0,23.0,21.6
Rashee Rice,2023,SMU,2021,Rashee Rice,670.0,9.0,64.0,3654.0,39.0,20.7
Rashee Rice,2023,SMU,2022,Rashee Rice,1355.0,10.0,96.0,4117.0,36.0,30.3
Marvin Mims,2023,Oklahoma,2020,Marvin Mims,610.0,9.0,37.0,3465.0,30.0,23.8
Marvin Mims,2023,Oklahoma,2021,Marvin Mims,705.0,5.0,32.0,3425.0,32.0,18.1
Marvin Mims,2023,Oklahoma,2022,Marvin Mims,1083.0,6.0,54.0,3310.0,27.0,27.5
Jalin Hyatt,2023,Tennessee,2020,Jalin Hyatt,276.0,2.0,20.0,2047.0,14.0,13.9
Jalin Hyatt,2023,Tennessee,2021,Jalin Hyatt,226.0,2.0,21.0,3342.0,33.0,6.4
Jalin Hyatt,2023,Tennessee,2022,Jalin Hyatt,1267.0,15.0,67.0,4239.0,38.0,34.7
Cedric Tillman,2023,Tennessee,2018,Cedric Tillman,-3.0,0.0,1.0,2356.0,15.0,-0.1
Cedric Tillman,2023,Tennessee,2019,Cedric Tillman,60.0,1.0,4.0,2878.0,19.0,3.7
Cedric Tillman,2023,Tennessee,2020,Cedric Tillman,67.0,1.0,3.0,2047.0,14.0,5.2
Cedric Tillman,2023,Tennessee,2021,Cedric Tillman,1081.0,12.0,64.0,3342.0,33.0,34.4
Cedric Tillman,2023,Tennessee,2022,Cedric Tillman,417.0,3.0,37.0,4239.0,38.0,8.9
Josh Downs,2023,North Carolina,2020,Josh Downs,119.0,3.0,7.0,3617.0,31.0,6.5
Josh Downs,2023,North Carolina,2021,Josh Downs,1335.0,8.0,101.0,3324.0,26.0,35.5
Josh Downs,2023,North Carolina,2022,Josh Downs,1029.0,11.0,94.0,4330.0,38.0,26.4
Michael Wilson,2023,Stanford,2018,Michael Wilson,126.0,1.0,14.0,3531.0,29.0,3.5
Michael Wilson,2023,Stanford,2019,Michael Wilson,672.0,5.0,56.0,3122.0,18.0,24.7
Michael Wilson,2023,Stanford,2020,Michael Wilson,243.0,1.0,18.0,1726.0,7.0,14.2
Michael Wilson,2023,Stanford,2021,Michael Wilson,185.0,0.0,19.0,2582.0,16.0,3.6
Michael Wilson,2023,Stanford,2022,Michael Wilson,418.0,4.0,26.0,3051.0,15.0,20.2
Tre Tucker,2023,Cincinnati,2019,Tre Tucker,92.0,0.0,7.0,2552.0,19.0,1.8
Tre Tucker,2023,Cincinnati,2020,Tre Tucker,236.0,3.0,18.0,2386.0,20.0,12.4
Tre Tucker,2023,Cincinnati,2021,Tre Tucker,426.0,2.0,34.0,3377.0,33.0,9.3
Tre Tucker,2023,Cincinnati,2022,Tre Tucker,672.0,3.0,52.0,3155.0,22.0,17.5
Derius Davis,2023,TCU,2018,Derius Davis,104.0,2.0,8.0,2740.0,18.0,7.5
Derius Davis,2023,TCU,2019,Derius Davis,151.0,0.0,11.0,2444.0,15.0,3.1
Derius Davis,2023,TCU,2020,Derius Davis,209.0,1.0,15.0,1933.0,10.0,10.4
Derius Davis,2023,TCU,2021,Derius Davis,518.0,1.0,36.0,2838.0,19.0,11.8
Derius Davis,2023,TCU,2022,Derius Davis,531.0,5.0,42.0,3926.0,33.0,14.3
Charlie Jones,2023,Purdue,2022,Charlie Jones,1361.0,12.0,110.0,3895.0,26.0,40.5
Tyler Scott,2023,Cincinnati,2020,Tyler Scott,20.0,0.0,3.0,2386.0,20.0,0.4
Tyler Scott,2023,Cincinnati,2021,Tyler Scott,520.0,5.0,30.0,3377.0,33.0,15.3
Tyler Scott,2023,Cincinnati,2022,Tyler Scott,899.0,9.0,55.0,3155.0,22.0,34.7
Justin Shorter,2023,Florida,2020,Justin Shorter,268.0,3.0,25.0,4543.0,46.0,6.2
Justin Shorter,2023,Florida,2021,Justin Shorter,550.0,3.0,41.0,3304.0,27.0,13.9
Justin Shorter,2023,Florida,2022,Justin Shorter,577.0,2.0,29.0,2910.0,18.0,15.5
Dontayvion Wicks,2023,Virginia,2019,Dontayvion Wicks,61.0,1.0,3.0,3748.0,23.0,3.0
Dontayvion Wicks,2023,Virginia,2021,Dontayvion Wicks,1203.0,9.0,57.0,4706.0,31.0,27.3
Dontayvion Wicks,2023,Virginia,2022,Dontayvion Wicks,430.0,2.0,30.0,2210.0,7.0,24.0
Puka Nacua,2023,BYU,2021,Puka Nacua,805.0,6.0,43.0,3433.0,26.0,23.3
Puka Nacua,2023,BYU,2022,Puka Nacua,625.0,5.0,48.0,3246.0,32.0,17.4
Parker Washington,2023,Penn State,2020,Parker Washington,489.0,6.0,36.0,2298.0,17.0,28.3
Parker Washington,2023,Penn State,2021,Parker Washington,820.0,4.0,64.0,3491.0,25.0,19.7
Parker Washington,2023,Penn State,2022,Parker Washington,611.0,2.0,46.0,3283.0,29.0,12.8
Kayshon Boutte,2023,LSU,2020,Kayshon Boutte,688.0,5.0,42.0,3121.0,24.0,21.4
Kayshon Boutte,2023,LSU,2021,Kayshon Boutte,509.0,9.0,38.0,3308.0,32.0,21.8
Kayshon Boutte,2023,LSU,2022,Kayshon Boutte,538.0,2.0,48.0,3770.0,23.0,11.5
