player_name,draft_year,college,pick,season_used,player_rec_yards,player_rec_tds,team_rec_yards,team_rec_tds,yards_market_share,td_market_share,dominator_rating,dominator_pct,status
Austin Proehl,2018,North Carolina,255,2017,337.0,1.0,2705.0,20.0,0.1245841035120148,0.05,0.0872920517560074,8.72920517560074,calculated
Trey Quinn,2018,SMU,256,2017,1236.0,13.0,3823.0,35.0,0.3233063039497776,0.3714285714285714,0.3473674376891745,34.73674376891746,calculated
Marquise Brown,2019,Oklahoma,25,2018,1318.0,10.0,4523.0,43.0,0.29139951359717,0.2325581395348837,0.2619788265660269,26.19788265660269,calculated
N'Keal Harry,2019,Arizona St.,32,2018,1088.0,9.0,3027.0,20.0,0.3594317806408986,0.45,0.4047158903204493,40.47158903204493,calculated
Deebo Samuel,2019,South Carolina,36,2018,882.0,11.0,3555.0,32.0,0.2481012658227848,0.34375,0.2959256329113924,29.59256329113924,calculated
A.J. Brown,2019,Mississippi,51,2018,1355.0,6.0,4198.0,22.0,0.3227727489280609,0.2727272727272727,0.2977500108276668,29.77500108276668,calculated
Mecole Hardman,2019,Georgia,56,2018,532.0,7.0,3165.0,34.0,0.1680884676145339,0.2058823529411764,0.1869854102778552,18.69854102778552,calculated
JJ Arcega-Whiteside,2019,Stanford,57,2018,1040.0,14.0,3551.0,29.0,0.2928752464094621,0.4827586206896552,0.3878169335495586,38.78169335495586,calculated
Parris Campbell,2019,Ohio St.,59,2018,983.0,11.0,5030.0,50.0,0.1954274353876739,0.22,0.2077137176938369,20.7713717693837,calculated
Andy Isabella,2019,Massachusetts,62,2018,1697.0,13.0,3576.0,27.0,0.4745525727069351,0.4814814814814814,0.4780170270942083,47.80170270942083,calculated
D.K. Metcalf,2019,Mississippi,64,2018,569.0,5.0,4198.0,22.0,0.135540733682706,0.2272727272727272,0.1814067304777166,18.140673047771667,calculated
Diontae Johnson,2019,Toledo,66,2018,761.0,8.0,2977.0,32.0,0.2556264696002687,0.25,0.2528132348001344,25.28132348001344,calculated
Jalen Hurd,2019,Baylor,67,2018,946.0,4.0,3793.0,22.0,0.249406802003691,0.1818181818181818,0.2156124919109364,21.56124919109364,calculated
Terry McLaurin,2019,Ohio St.,76,2018,701.0,11.0,5030.0,50.0,0.1393638170974155,0.22,0.1796819085487077,17.968190854870773,calculated
Miles Boykin,2019,Notre Dame,93,2018,872.0,8.0,3338.0,23.0,0.2612342720191731,0.3478260869565217,0.3045301794878474,30.453017948784744,calculated
Hakeem Butler,2019,Iowa St.,103,2018,1318.0,9.0,3125.0,20.0,0.42176,0.45,0.43588,43.58800000000001,calculated
Gary Jennings Jr,2019,West Virginia,120,2018,917.0,13.0,4259.0,38.0,0.2153087579243954,0.3421052631578947,0.2787070105411451,27.870701054114512,calculated
Riley Ridley,2019,Georgia,126,2018,570.0,9.0,3165.0,34.0,0.1800947867298578,0.2647058823529412,0.2224003345413995,22.24003345413995,calculated
Hunter Renfrow,2019,Clemson,149,2018,544.0,1.0,4185.0,37.0,0.1299880525686977,0.027027027027027,0.0785075397978623,7.850753979786237,calculated
Darius Slayton,2019,Auburn,171,2018,670.0,5.0,2928.0,21.0,0.2288251366120218,0.238095238095238,0.2334601873536299,23.346018735363,calculated
KeeSean Johnson,2019,Fresno St.,174,2018,1340.0,8.0,3779.0,26.0,0.3545911616829849,0.3076923076923077,0.3311417346876463,33.114173468764626,calculated
Travis Fulgham,2019,Old Dominion,184,2018,1083.0,9.0,3573.0,21.0,0.3031066330814441,0.4285714285714285,0.3658390308264363,36.58390308264363,calculated
Juwann Winfree,2019,Colorado,187,2018,324.0,2.0,2955.0,19.0,0.1096446700507614,0.1052631578947368,0.1074539139727491,10.745391397274911,calculated
Marcus Green,2019,La-Monroe,203,2018,,,0.0,0.0,,,,,player_not_found
Kelvin Harmon,2019,North Carolina St.,206,2018,1086.0,6.0,3717.0,21.0,0.2921711057304277,0.2857142857142857,0.2889426957223567,28.894269572235675,calculated
Scott Miller,2019,Bowling Green,208,2018,1106.0,9.0,2816.0,29.0,0.3927556818181818,0.3103448275862069,0.3515502547021943,35.155025470219435,calculated
John Ursua,2019,Hawaii,236,2018,1343.0,16.0,4344.0,43.0,0.3091620626151012,0.3720930232558139,0.3406275429354576,34.06275429354576,calculated
Terry Godwin,2019,Georgia,237,2018,373.0,3.0,3165.0,34.0,0.1178515007898894,0.088235294117647,0.1030433974537682,10.304339745376824,calculated
Dillon Mitchell,2019,Oregon,239,2018,1184.0,10.0,3244.0,29.0,0.3649815043156597,0.3448275862068966,0.3549045452612781,35.49045452612781,calculated
Olabisi Johnson,2019,Colorado St.,247,2018,796.0,4.0,3680.0,26.0,0.2163043478260869,0.1538461538461538,0.1850752508361204,18.50752508361204,calculated
Henry Ruggs III,2020,Alabama,12,2019,746.0,7.0,4449.0,49.0,0.1676781299168352,0.1428571428571428,0.155267636386989,15.526763638698904,calculated
Jerry Jeudy,2020,Alabama,15,2019,1163.0,10.0,4449.0,49.0,0.26140705776579,0.2040816326530612,0.2327443452094256,23.274434520942563,calculated
CeeDee Lamb,2020,Oklahoma,17,2019,1327.0,14.0,4164.0,36.0,0.3186839577329491,0.3888888888888889,0.353786423310919,35.3786423310919,calculated
Jalen Reagor,2020,TCU,21,2019,611.0,5.0,2444.0,15.0,0.25,0.3333333333333333,0.2916666666666666,29.166666666666664,calculated
Justin Jefferson,2020,LSU,22,2019,1540.0,18.0,6024.0,61.0,0.2556440903054449,0.2950819672131147,0.2753630287592798,27.53630287592798,calculated
Brandon Aiyuk,2020,Arizona St.,25,2019,1192.0,8.0,3235.0,21.0,0.3684698608964451,0.3809523809523809,0.374711120924413,37.4711120924413,calculated
Tee Higgins,2020,Clemson,33,2019,1167.0,13.0,4325.0,40.0,0.2698265895953757,0.325,0.2974132947976878,29.741329479768787,calculated
Michael Pittman Jr.,2020,USC,34,2019,1275.0,11.0,4365.0,35.0,0.2920962199312715,0.3142857142857143,0.3031909671084929,30.31909671084929,calculated
Laviska Shenault Jr.,2020,Colorado,42,2019,764.0,4.0,2858.0,18.0,0.2673198040587823,0.2222222222222222,0.2447710131405022,24.477101314050227,calculated
KJ Hamler,2020,Penn St.,46,2019,904.0,8.0,2877.0,25.0,0.3142161974278762,0.32,0.3171080987139381,31.710809871393813,calculated
Chase Claypool,2020,Notre Dame,49,2019,1037.0,13.0,3278.0,37.0,0.3163514338010982,0.3513513513513513,0.3338513925762247,33.38513925762248,calculated
Van Jefferson,2020,Florida,57,2019,657.0,6.0,3910.0,33.0,0.1680306905370844,0.1818181818181818,0.1749244361776331,17.49244361776331,calculated
Denzel Mims,2020,Baylor,59,2019,1020.0,12.0,3571.0,24.0,0.2856342761131336,0.5,0.3928171380565668,39.28171380565668,calculated
Lynn Bowden Jr.,2020,Kentucky,80,2019,348.0,1.0,1478.0,9.0,0.2354533152909337,0.1111111111111111,0.1732822132010223,17.328221320102237,calculated
Bryan Edwards,2020,South Carolina,81,2019,816.0,6.0,2667.0,12.0,0.3059617547806524,0.5,0.4029808773903262,40.29808773903262,calculated
Devin Duvernay,2020,Texas,92,2019,1386.0,9.0,3761.0,32.0,0.368519010901356,0.28125,0.324884505450678,32.488450545067806,calculated
Gabriel Davis,2020,Central Florida,128,2019,1241.0,12.0,3434.0,30.0,0.3613861386138614,0.4,0.3806930693069307,38.06930693069307,calculated
Antonio Gandy-Golden,2020,Liberty,142,2019,1396.0,10.0,3731.0,29.0,0.3741624229429107,0.3448275862068966,0.3594950045749037,35.949500457490366,calculated
Joe Reed,2020,Virginia,151,2019,679.0,7.0,3748.0,23.0,0.1811632870864461,0.3043478260869565,0.2427555565867013,24.27555565867013,calculated
Tyler Johnson,2020,Minnesota,161,2019,1318.0,13.0,3293.0,31.0,0.4002429395687822,0.4193548387096774,0.4097988891392298,40.97988891392298,calculated
Collin Johnson,2020,Texas,165,2019,559.0,3.0,3761.0,32.0,0.1486306833289019,0.09375,0.1211903416644509,12.119034166445095,calculated
Quintez Cephus,2020,Wisconsin,166,2019,901.0,7.0,2802.0,18.0,0.3215560314061385,0.3888888888888889,0.3552224601475137,35.52224601475137,calculated
John Hightower,2020,Boise St.,168,2019,943.0,8.0,3664.0,31.0,0.2573689956331877,0.2580645161290322,0.25771675588111,25.771675588111,calculated
