player_id,player_name,rec_yards,receptions,rec_tds,games_rec,rush_yards,rush_att,rush_tds,games_rush,games,fantasy_ppr,ppg
00-0034855,B.Mayfield,0.0,0.0,0.0,0.0,382.0,55.0,1.0,14.0,14.0,44.2,3.1571428571428575
00-0037267,J.Ford,103.0,26.0,0.0,11.0,73.0,24.0,0.0,9.0,11.0,43.6,3.963636363636364
00-0040729,J.Bech,224.0,20.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,42.4,3.533333333333333
00-0039923,J.McCarthy,0.0,0.0,0.0,0.0,181.0,37.0,4.0,9.0,9.0,42.1,4.677777777777778
00-0038440,Z.Scott,98.0,14.0,1.0,8.0,114.0,32.0,0.0,9.0,9.0,41.2,4.577777777777778
00-0039739,R.Wilson,166.0,12.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,40.6,4.511111111111111
00-0037563,M.Davis,16.0,2.0,0.0,2.0,250.0,52.0,2.0,9.0,9.0,40.6,4.511111111111111
00-0039910,J.Daniels,0.0,0.0,0.0,0.0,278.0,59.0,2.0,7.0,7.0,39.8,5.685714285714285
00-0040164,J.Lane,225.0,16.0,0.0,13.0,7.0,1.0,0.0,1.0,13.0,39.2,3.0153846153846158
00-0040739,E.Arroyo,179.0,15.0,1.0,13.0,0.0,0.0,0.0,0.0,13.0,38.9,2.9923076923076923
00-0036637,N.Gray,178.0,21.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,38.8,2.9846153846153842
00-0032398,C.Moore,207.0,11.0,1.0,8.0,9.0,1.0,0.0,1.0,8.0,38.599999999999994,4.824999999999999
00-0032104,A.Abdullah,99.0,16.0,0.0,11.0,60.0,14.0,1.0,8.0,11.0,37.9,3.4454545454545453
00-0036427,T.Johnson,197.0,12.0,1.0,9.0,0.0,0.0,0.0,0.0,9.0,37.7,4.188888888888889
00-0039792,D.Walker,136.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,5.0,37.6,7.5200000000000005
00-0030035,A.Thielen,186.0,19.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,37.6,2.685714285714286
00-0033357,T.Hill,91.0,11.0,0.0,7.0,114.0,52.0,1.0,12.0,12.0,37.5,3.125
00-0038738,H.Luepke,109.0,13.0,1.0,10.0,71.0,16.0,0.0,7.0,10.0,37.0,3.7
00-0036754,B.Wright,108.0,14.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,36.8,5.257142857142857
00-0040743,T.Shough,0.0,0.0,0.0,0.0,186.0,46.0,3.0,10.0,10.0,36.6,3.66
00-0039751,J.Whittington,171.0,18.0,0.0,12.0,12.0,3.0,0.0,2.0,12.0,36.3,3.025
00-0038046,C.Kolar,142.0,10.0,2.0,11.0,0.0,0.0,0.0,0.0,11.0,36.2,3.290909090909091
00-0034983,H.Renfrow,89.0,15.0,2.0,6.0,0.0,0.0,0.0,0.0,6.0,35.9,5.983333333333333
00-0032268,M.Mariota,0.0,0.0,0.0,0.0,297.0,50.0,1.0,10.0,10.0,35.7,3.5700000000000003
00-0039921,T.Benson,64.0,13.0,0.0,4.0,160.0,29.0,0.0,4.0,4.0,35.4,8.85
00-0037085,T.Badie,141.0,19.0,0.0,13.0,23.0,8.0,0.0,4.0,13.0,35.4,2.723076923076923
00-0035406,L.Humphrey,156.0,13.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,34.6,4.942857142857143
00-0039150,B.Young,0.0,0.0,0.0,0.0,216.0,54.0,2.0,16.0,16.0,33.6,2.1
00-0033553,J.Conner,38.0,8.0,1.0,3.0,95.0,32.0,1.0,3.0,3.0,33.3,11.1
00-0038551,K.Miller,30.0,5.0,0.0,4.0,193.0,47.0,1.0,7.0,7.0,33.3,4.757142857142857
00-0037231,K.Austin,140.0,13.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,33.0,6.6
00-0037834,B.Purdy,0.0,0.0,0.0,0.0,147.0,33.0,3.0,9.0,9.0,32.7,3.6333333333333337
00-0038685,C.Brooks,91.0,13.0,0.0,10.0,106.0,27.0,0.0,7.0,10.0,32.7,3.2700000000000005
00-0037004,H.Long,85.0,12.0,2.0,7.0,0.0,0.0,0.0,0.0,7.0,32.5,4.642857142857143
00-0034272,M.Valdes-Scantling,120.0,14.0,1.0,9.0,0.0,0.0,0.0,0.0,9.0,32.0,3.5555555555555554
00-0035631,D.Sample,106.0,15.0,1.0,11.0,3.0,1.0,0.0,1.0,11.0,31.9,2.9
00-0039920,M.Corley,79.0,11.0,0.0,8.0,127.0,13.0,0.0,8.0,8.0,31.6,3.95
00-0038839,M.Tinsley,116.0,8.0,2.0,8.0,0.0,0.0,0.0,0.0,8.0,31.6,3.95
00-0036887,L.Farrell,85.0,11.0,2.0,9.0,0.0,0.0,0.0,0.0,9.0,31.5,3.5
00-0038794,J.McLaughlin,27.0,4.0,0.0,5.0,187.0,37.0,1.0,8.0,8.0,31.4,3.925
00-0036849,T.Atwell,192.0,6.0,1.0,8.0,0.0,0.0,0.0,0.0,8.0,31.2,3.9
00-0036196,G.Davis,129.0,12.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,30.9,5.1499999999999995
00-0033217,M.Alie-Cox,117.0,13.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,30.7,2.790909090909091
00-0035645,G.Olszewski,145.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,30.5,7.625
00-0033891,Z.Jones,183.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,30.3,5.05
00-0038840,B.Tremayne,160.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,30.0,3.75
