player_name,draft_year,pick,round,college,teammate_count,best_teammate_pick,total_teammate_dc,avg_teammate_dc,teammate_names
Marcus Green,2019,203,6,La-Monroe,0,,0.0,0.0,
Kelvin Harmon,2019,206,6,North Carolina St.,1,165.0,45.5,45.5,"Jaylen Samuels (Rd5 #165, 2018)"
Scott Miller,2019,208,6,Bowling Green,0,,0.0,0.0,
John Ursua,2019,236,7,Hawaii,0,,0.0,0.0,
Terry Godwin,2019,237,7,Georgia,5,56.0,235.1,47.0,"Javon Wims (Rd7 #224, 2018); Mecole Hardman (Rd2 #56, 2019); Riley Ridley (Rd4 #126, 2019); Isaac Nauta (Rd7 #224, 2019); Charlie Woerner (Rd6 #190, 2020)"
Dillon Mitchell,2019,239,7,Oregon,0,,0.0,0.0,
Olabisi Johnson,2019,247,7,Colorado St.,1,81.0,65.8,65.8,"Michael Gallup (Rd3 #81, 2018)"
Henry Ruggs III,2020,12,1,Alabama,4,6.0,352.3,88.1,"Irv Smith Jr. (Rd2 #50, 2019); Jerry Jeudy (Rd1 #15, 2020); Jaylen Waddle (Rd1 #6, 2021); DeVonta Smith (Rd1 #10, 2021)"
Jerry Jeudy,2020,15,1,Alabama,4,6.0,354.0,88.5,"Irv Smith Jr. (Rd2 #50, 2019); Henry Ruggs III (Rd1 #12, 2020); Jaylen Waddle (Rd1 #6, 2021); DeVonta Smith (Rd1 #10, 2021)"
CeeDee Lamb,2020,17,1,Oklahoma,1,25.0,84.7,84.7,"Marquise Brown (Rd1 #25, 2019)"
Jalen Reagor,2020,21,1,TCU,0,,0.0,0.0,
Justin Jefferson,2020,22,1,LSU,5,5.0,285.8,57.2,"Foster Moreau (Rd4 #137, 2019); Stephen Sullivan (Rd7 #251, 2020); Ja'Marr Chase (Rd1 #5, 2021); Terrace Marshall Jr. (Rd2 #59, 2021); Racey McMath (Rd6 #205, 2021)"
Brandon Aiyuk,2020,25,1,Arizona St.,2,32.0,122.7,61.4,"N'Keal Harry (Rd1 #32, 2019); Frank Darby (Rd6 #187, 2021)"
Tee Higgins,2020,33,2,Clemson,3,85.0,155.8,51.9,"Hunter Renfrow (Rd5 #149, 2019); Amari Rodgers (Rd3 #85, 2021); Cornell Powell (Rd5 #181, 2021)"
Michael Pittman Jr.,2020,34,2,USC,1,112.0,57.7,57.7,"Amon-Ra St. Brown (Rd4 #112, 2021)"
Laviska Shenault Jr.,2020,42,2,Colorado,1,187.0,40.9,40.9,"Juwann Winfree (Rd6 #187, 2019)"
KJ Hamler,2020,46,2,Penn St.,1,55.0,73.6,73.6,"Pat Freiermuth (Rd2 #55, 2021)"
Chase Claypool,2020,49,2,Notre Dame,5,43.0,266.7,53.3,"Miles Boykin (Rd3 #93, 2019); Alizé Mack (Rd7 #231, 2019); Cole Kmet (Rd2 #43, 2020); Tommy Tremble (Rd3 #83, 2021); Ben Skowronek (Rd7 #249, 2021)"
Van Jefferson,2020,57,2,Florida,4,4.0,247.7,61.9,"Freddie Swain (Rd6 #214, 2020); Tyrie Cleveland (Rd7 #252, 2020); Kyle Pitts (Rd1 #4, 2021); Kadarius Toney (Rd1 #20, 2021)"
Denzel Mims,2020,59,2,Baylor,1,67.0,69.9,69.9,"Jalen Hurd (Rd3 #67, 2019)"
Lynn Bowden Jr.,2020,80,3,Kentucky,0,,0.0,0.0,
Bryan Edwards,2020,81,3,South Carolina,2,36.0,117.8,58.9,"Deebo Samuel (Rd2 #36, 2019); Shi Smith (Rd6 #204, 2021)"
Devin Duvernay,2020,92,3,Texas,1,165.0,45.5,45.5,"Collin Johnson (Rd5 #165, 2020)"
Gabriel Davis,2020,128,4,Central Florida,2,141.0,81.1,40.5,"Jacob Harris (Rd4 #141, 2021); Tre Nixon (Rd7 #242, 2021)"
Antonio Gandy-Golden,2020,142,4,Liberty,0,,0.0,0.0,
Joe Reed,2020,151,5,Virginia,0,,0.0,0.0,
Tyler Johnson,2020,161,5,Minnesota,1,27.0,83.9,83.9,"Rashod Bateman (Rd1 #27, 2021)"
Collin Johnson,2020,165,5,Texas,1,92.0,62.8,62.8,"Devin Duvernay (Rd3 #92, 2020)"
Quintez Cephus,2020,166,5,Wisconsin,0,,0.0,0.0,
John Hightower,2020,168,5,Boise St.,1,124.0,54.7,54.7,"John Bates (Rd4 #124, 2021)"
Isaiah Coulter,2020,171,5,Rhode Island,0,,0.0,0.0,
Darnell Mooney,2020,173,5,Tulane,0,,0.0,0.0,
K.J. Osborn,2020,176,5,Miami (FL),1,147.0,49.4,49.4,"Brevin Jordan (Rd5 #147, 2021)"
Donovan Peoples-Jones,2020,187,6,Michigan,2,89.0,114.4,57.2,"Zach Gentry (Rd5 #141, 2019); Nico Collins (Rd3 #89, 2021)"
Quez Watkins,2020,200,6,Southern Miss,0,,0.0,0.0,
James Proche,2020,201,6,SMU,1,127.0,54.0,54.0,"Kylen Granson (Rd4 #127, 2021)"
Isaiah Hodgins,2020,207,6,Oregon St.,0,,0.0,0.0,
Dezmon Patmon,2020,212,6,Washington St.,0,,0.0,0.0,
Freddie Swain,2020,214,6,Florida,4,4.0,285.1,71.3,"Van Jefferson (Rd2 #57, 2020); Tyrie Cleveland (Rd7 #252, 2020); Kyle Pitts (Rd1 #4, 2021); Kadarius Toney (Rd1 #20, 2021)"
Jauan Jennings,2020,217,7,Tennessee,1,77.0,66.9,66.9,"Josh Palmer (Rd3 #77, 2021)"
K.J. Hill,2020,220,7,Ohio St.,3,59.0,189.4,63.1,"Parris Campbell (Rd2 #59, 2019); Terry McLaurin (Rd3 #76, 2019); Luke Farrell (Rd5 #145, 2021)"
Tyrie Cleveland,2020,252,7,Florida,4,4.0,292.3,73.1,"Van Jefferson (Rd2 #57, 2020); Freddie Swain (Rd6 #214, 2020); Kyle Pitts (Rd1 #4, 2021); Kadarius Toney (Rd1 #20, 2021)"
Ja'Marr Chase,2021,5,1,LSU,4,22.0,224.3,56.1,"Justin Jefferson (Rd1 #22, 2020); Stephen Sullivan (Rd7 #251, 2020); Terrace Marshall Jr. (Rd2 #59, 2021); Racey McMath (Rd6 #205, 2021)"
Jaylen Waddle,2021,6,1,Alabama,5,10.0,441.7,88.3,"Henry Ruggs III (Rd1 #12, 2020); Jerry Jeudy (Rd1 #15, 2020); DeVonta Smith (Rd1 #10, 2021); Jameson Williams (Rd1 #12, 2022); John Metchie (Rd2 #44, 2022)"
DeVonta Smith,2021,10,1,Alabama,5,6.0,444.4,88.9,"Henry Ruggs III (Rd1 #12, 2020); Jerry Jeudy (Rd1 #15, 2020); Jaylen Waddle (Rd1 #6, 2021); Jameson Williams (Rd1 #12, 2022); John Metchie (Rd2 #44, 2022)"
Kadarius Toney,2021,20,1,Florida,4,4.0,233.7,58.4,"Van Jefferson (Rd2 #57, 2020); Freddie Swain (Rd6 #214, 2020); Tyrie Cleveland (Rd7 #252, 2020); Kyle Pitts (Rd1 #4, 2021)"
Rashod Bateman,2021,27,1,Minnesota,2,161.0,81.2,40.6,"Tyler Johnson (Rd5 #161, 2020); Ko Kieft (Rd6 #218, 2022)"
Elijah Moore,2021,34,2,Mississippi,0,,0.0,0.0,
