player_name,draft_year,pick,round,college,age,best_ppr,best_ppg,best_season,season_rank,hit24,hit12,RAS,rec_yards,receptions,team_pass_att,cfbd_name,rec_per_pass_att,age_wt,production_raw,production_score
Ryquell Armstead,2019,140,5,Temple,22.0,51.2,3.011764705882353,2019.0,73.0,0,0,7.71,52.0,8.0,443.0,ryquell armstead,0.11738148984198646,1.0,0.11738148984198646,5.27227775986241
Qadree Ollison,2019,152,5,Pittsburgh,22.0,30.7,1.8058823529411765,2019.0,89.0,0,0,4.43,66.0,11.0,315.0,qadree ollison,0.20952380952380953,1.0,0.20952380952380953,10.906122448979591
Jordan Scarlett,2019,154,5,Florida,23.0,0.9,0.0529411764705882,2019.0,128.0,0,0,4.71,84.0,10.0,364.0,jordan scarlett,0.23076923076923078,0.9,0.2076923076923077,10.794139194139195
Trayveon Williams,2019,182,6,Texas A&M,21.0,21.700000000000003,1.2764705882352942,2020.0,99.0,0,0,4.6,277.0,27.0,439.0,trayveon williams,0.6309794988610479,1.1,0.6940774487471527,40.533116390064
Ty Johnson,2019,186,6,Maryland,21.0,117.0,6.882352941176471,2021.0,42.0,0,0,9.74,22.0,6.0,241.0,ty johnson,0.0912863070539419,1.1,0.1004149377593361,4.234894289666074
Dexter Williams,2019,194,6,Notre Dame,22.0,1.1,0.0647058823529411,2019.0,126.0,0,0,8.13,133.0,16.0,418.0,dexter williams,0.3181818181818182,1.0,0.3181818181818182,17.549783549783548
Travis Homer,2019,204,6,Miami (FL),21.0,55.8,3.282352941176471,2021.0,75.0,0,0,8.34,186.0,19.0,355.0,travis homer,0.523943661971831,1.1,0.5763380281690141,33.3341918175721
Rodney Anderson,2019,211,6,Oklahoma,22.0,0.0,0.0,,,0,0,,281.0,17.0,433.0,rodney anderson,0.648960739030023,1.0,0.648960739030023,37.77455185307379
Mike Weber,2019,218,7,Ohio St.,22.0,0.0,0.0,,,0,0,7.01,112.0,21.0,559.0,mike weber,0.2003577817531306,1.0,0.2003577817531306,10.345685322429508
Cullen Gillaspia,2019,220,7,Texas A&M,24.0,0.0,0.0,,,0,0,,52.0,5.0,439.0,cullen gillaspia,0.11845102505694761,0.8,0.0947608200455581,3.889185378023647
Kerrith Whyte Jr,2019,222,7,Florida Atlantic,22.0,0.0,0.0,,,0,0,,160.0,10.0,364.0,kerrith whyte jr.,0.43956043956043955,1.0,0.43956043956043955,24.97121925693354
Chandler Cox,2019,233,7,Auburn,23.0,0.0,0.0,,,0,0,,81.0,10.0,382.0,chandler cox,0.21204188481675393,0.9,0.19083769633507855,9.763600099725753
