player_name,position,draft_year,pick,college,rec_yards,team_pass_attempts,age,weight,forty,draft_capital_score,breakout_score,athletic_score,slap_score,tier
Will Shipley,RB,2024,127,Clemson,244.0,474.0,22.0,206.0,,46.5,48.4,,49.4,Below Avg
Josh Palmer,WR,2021,77,Tennessee,475.0,285.0,21.0,,,48.0,46.2,,49.0,Below Avg
Isaac TeSlaa,WR,2025,70,Arkansas,545.0,414.0,23.0,214.0,4.43,48.9,33.7,66.8,48.7,Below Avg
Dameon Pierce,RB,2022,107,Florida,216.0,416.0,22.0,218.0,4.59,48.8,48.6,40.8,48.4,Below Avg
Trevor Etienne,RB,2025,114,Georgia,194.0,513.0,21.0,198.0,4.42,47.9,44.0,50.8,48.1,Below Avg
Trey Sermon,RB,2021,88,Ohio State,95.0,225.0,22.0,215.0,4.57,51.7,44.1,41.4,47.7,Below Avg
Rhamondre Stevenson,RB,2021,120,Oklahoma,211.0,362.0,23.0,231.0,4.64,47.3,48.6,43.4,47.4,Below Avg
Anthony McFarland Jr.,RB,2020,124,Maryland,126.0,342.0,22.0,208.0,4.44,46.8,41.6,56.7,47.1,Below Avg
Ladd McConkey,WR,2024,34,Georgia,478.0,456.0,22.0,186.0,4.39,57.8,31.5,49.3,46.8,Below Avg
Isaiah Davis,RB,2024,173,South Dakota St.,190.0,307.0,22.0,218.0,4.57,42.8,53.3,43.9,46.4,Below Avg
Elijah Mitchell,RB,2021,194,Louisiana,153.0,308.0,23.0,201.0,4.38,41.6,45.0,60.7,46.1,Below Avg
Zamir White,RB,2022,122,Georgia,75.0,407.0,22.0,214.0,4.4,47.0,32.9,69.7,45.8,Below Avg
Dylan Sampson,RB,2025,126,Tennessee,143.0,373.0,20.0,200.0,,46.6,46.3,,45.5,Below Avg
Kenny McIntosh,RB,2023,237,Georgia,504.0,492.0,23.0,204.0,4.62,39.6,67.0,25.1,45.1,Below Avg
Gerrid Doaks,RB,2021,244,Cincinnati,202.0,295.0,23.0,228.0,4.58,39.3,52.8,50.6,44.8,Below Avg
Tank Dell,WR,2023,69,Houston,1398.0,501.0,23.0,165.0,4.49,49.1,57.7,19.0,44.2,Below Avg
Danny Gray,WR,2022,105,SMU,803.0,468.0,23.0,186.0,4.33,45.2,40.2,58.4,44.2,Below Avg
Tyler Scott,WR,2023,133,Cincinnati,899.0,417.0,21.0,177.0,4.44,43.3,56.1,34.8,43.8,Below Avg
La'Mical Perine,RB,2020,120,Florida,262.0,467.0,22.0,216.0,4.62,47.3,50.6,34.6,43.5,Below Avg
DeMario Douglas,WR,2023,210,Liberty,993.0,395.0,22.0,179.0,4.44,40.3,58.3,36.5,43.2,Below Avg
Elijah Higgins,WR,2023,197,Stanford,704.0,448.0,22.0,235.0,4.54,40.6,41.0,66.0,42.9,Below Avg
Jacob Harris,WR,2021,141,UCF,539.0,408.0,24.0,219.0,4.39,42.9,31.1,77.7,42.5,Below Avg
Tyler Allgeier,RB,2022,151,BYU,199.0,389.0,22.0,224.0,4.6,44.4,48.3,44.1,42.2,Below Avg
Amon-Ra St. Brown,WR,2021,112,USC,478.0,263.0,21.0,197.0,4.51,44.6,49.2,41.4,41.9,Below Avg
Savion Williams,WR,2025,87,TCU,611.0,488.0,23.0,222.0,4.48,46.8,32.6,65.4,41.6,Below Avg
Woody Marks,RB,2025,116,USC,321.0,533.0,24.0,207.0,4.54,47.7,46.2,39.4,41.2,Below Avg
Kimani Vidal,RB,2024,181,Troy,201.0,456.0,23.0,213.0,4.46,42.3,42.6,57.8,40.9,Below Avg
James Proche,WR,2020,201,SMU,1225.0,503.0,23.0,201.0,,40.5,51.9,,40.6,Below Avg
Joe Reed,WR,2020,151,Virginia,679.0,520.0,22.0,224.0,4.47,42.4,36.2,68.6,40.3,Below Avg
A.T. Perry,WR,2023,195,Wake Forest,1096.0,474.0,23.0,198.0,4.47,40.7,49.9,47.8,39.9,Below Avg
Romeo Doubs,WR,2022,132,Nevada,1109.0,572.0,22.0,201.0,,43.4,47.8,,39.6,Below Avg
Israel Abanikanda,RB,2023,143,Pittsburgh,146.0,393.0,20.0,216.0,,45.0,45.6,,39.3,Below Avg
Tutu Atwell,WR,2021,57,Louisville,625.0,315.0,21.0,155.0,4.42,51.1,52.6,19.1,39.0,Below Avg
Ricky White,WR,2025,238,UNLV,1041.0,309.0,23.0,184.0,4.61,39.6,67.1,19.5,38.6,Below Avg
Jayden Reed,WR,2023,50,Michigan State,636.0,412.0,23.0,187.0,4.45,52.7,37.4,41.7,38.3,Below Avg
Xavier Hutchinson,WR,2023,205,Iowa State,1171.0,479.0,23.0,203.0,4.53,40.4,52.0,43.3,38.0,Below Avg
Audric Estime,RB,2024,147,Notre Dame,142.0,351.0,21.0,,,44.7,45.4,,37.7,Below Avg
Kawaan Baker,WR,2021,255,South Alabama,656.0,350.0,23.0,210.0,4.44,39.2,42.8,61.9,36.7,Below Avg
Devontez Walker,WR,2024,113,North Carolina,699.0,460.0,23.0,193.0,4.36,44.6,37.0,59.9,36.7,Below Avg
