player_name,position,draft_year,pick,round,college,seasons_played,best_rank,best_ppr,hit24,hit12,RAS
Tyquan Thornton,WR,2022,50,2,Baylor,2,157.0,21.299999999999997,0,0,8.54
George Pickens,WR,2022,52,2,Georgia,2,18.0,35.5,1,0,9.35
Alec Pierce,WR,2022,53,2,Cincinnati,2,97.0,24.200000000000003,0,0,9.83
Skyy Moore,WR,2022,54,2,Western Michigan,2,354.0,16.0,0,0,7.58
Velus Jones Jr.,WR,2022,71,3,Tennessee,2,999.0,0.0,0,0,7.1
Jalen Tolbert,WR,2022,88,3,South Alabama,2,157.0,21.700000000000003,0,0,8.62
David Bell,WR,2022,99,3,Purdue,2,136.0,22.8,0,0,3.98
Danny Gray,WR,2022,105,3,SMU,2,1718.0,2.0,0,0,6.76
Erik Ezukanma,WR,2022,125,4,Texas Tech,2,1852.0,1.7000000000000002,0,0,7.03
Romeo Doubs,WR,2022,132,4,Nevada,2,70.0,27.1,0,0,
Calvin Austin III,WR,2022,138,4,Memphis,2,403.0,15.2,0,0,9.05
Khalil Shakir,WR,2022,148,5,Boise St.,2,159.0,21.6,0,0,8.31
Montrell Washington,WR,2022,162,5,Samford,2,1739.0,1.9000000000000001,0,0,4.32
Kyle Philips,WR,2022,163,5,UCLA,2,554.0,12.600000000000001,0,0,8.31
Jalen Nailor,WR,2022,191,6,Michigan St.,2,246.0,19.1,0,0,8.09
Michael Woods II,WR,2022,202,6,Oklahoma,2,999.0,0.0,0,0,
Bo Melton,WR,2022,229,7,Rutgers,2,143.0,22.5,0,0,9.23
Dareke Young,WR,2022,233,7,Lenoir-Rhyne,2,1323.0,4.4,0,0,9.93
Samori Toure,WR,2022,258,7,Nebraska,2,693.0,10.7,0,0,6.14
Jaxon Smith-Njigba,WR,2023,20,1,Ohio St.,1,14.0,37.0,1,0,8.34
Quentin Johnston,WR,2023,21,1,TCU,1,27.0,31.6,0,0,8.68
Zay Flowers,WR,2023,22,1,Boston Col.,1,35.0,29.700000000000003,0,0,8.29
Jordan Addison,WR,2023,23,1,USC,1,11.0,39.3,1,1,5.94
Jonathan Mingo,WR,2023,39,2,Mississippi,1,528.0,12.9,0,0,9.87
Jayden Reed,WR,2023,50,2,Michigan St.,1,22.0,33.1,1,0,6.74
Rashee Rice,WR,2023,55,2,SMU,1,40.0,29.1,0,0,9.53
Marvin Mims,WR,2023,63,2,Oklahoma,1,29.0,30.2,0,0,
Tank Dell,WR,2023,69,3,Houston,1,45.0,29.599999999999998,0,0,
Jalin Hyatt,WR,2023,73,3,Tennessee,1,357.0,15.9,0,0,8.76
Cedric Tillman,WR,2023,74,3,Tennessee,1,45.0,28.9,0,0,8.67
Josh Downs,WR,2023,79,3,North Carolina,1,124.0,23.5,0,0,8.99
Michael Wilson,WR,2023,94,3,Stanford,1,76.0,26.6,0,0,9.55
Tre Tucker,WR,2023,100,3,Cincinnati,1,129.0,22.6,0,0,7.16
Derius Davis,WR,2023,125,4,TCU,1,691.0,10.799999999999999,0,0,4.29
Charlie Jones,WR,2023,131,4,Purdue,1,808.0,9.200000000000001,0,0,
Tyler Scott,WR,2023,133,4,Cincinnati,1,960.0,7.6000000000000005,0,0,8.61
Justin Shorter,WR,2023,150,5,Florida,1,999.0,0.0,0,0,7.94
Dontayvion Wicks,WR,2023,159,5,Virginia,1,88.0,24.8,0,0,9.17
Puka Nacua,WR,2023,177,5,BYU,1,5.0,41.800000000000004,1,1,5.18
Parker Washington,WR,2023,185,6,Penn St.,1,95.0,24.3,0,0,
Kayshon Boutte,WR,2023,187,6,LSU,1,89.0,24.700000000000003,0,0,4.99
Trey Palmer,WR,2023,191,6,Nebraska,1,331.0,16.4,0,0,6.18
A.T. Perry,WR,2023,195,6,Wake Forest,1,195.0,20.3,0,0,9.62
Elijah Higgins,WR,2023,197,6,Stanford,1,999.0,0.0,0,0,8.94
Xavier Hutchinson,WR,2023,205,6,Iowa St.,1,815.0,9.2,0,0,7.27
Andrei Iosivas,WR,2023,206,6,Princeton,1,182.0,20.6,0,0,9.96
DeMario Douglas,WR,2023,210,6,Liberty,1,999.0,0.0,0,0,
Antoine Green,WR,2023,219,7,North Carolina,1,2018.0,1.2,0,0,8.68
Colton Dowell,WR,2023,228,7,UT Martin,1,1998.0,1.3,0,0,9.78
Jalen Brooks,WR,2023,244,7,South Carolina,1,862.0,8.7,0,0,5.6
Ronnie Bell,WR,2023,253,7,Michigan,1,695.0,10.4,0,0,8.2
Grant Dubose,WR,2023,256,7,Charlotte,1,999.0,0.0,0,0,
Marvin Harrison Jr.,WR,2024,4,1,Ohio St.,0,999.0,0.0,0,0,
Malik Nabers,WR,2024,6,1,LSU,0,17.0,36.1,1,0,9.67
Rome Odunze,WR,2024,9,1,Washington,0,109.0,23.400000000000002,0,0,9.92
Brian Thomas,WR,2024,23,1,LSU,0,24.0,32.5,1,0,
Xavier Worthy,WR,2024,28,1,Texas,0,18.0,35.7,1,0,9.41
Ricky Pearsall,WR,2024,31,1,Florida,0,47.0,28.700000000000003,0,0,9.91
Xavier Legette,WR,2024,32,1,South Carolina,0,228.0,19.6,0,0,9.9
Keon Coleman,WR,2024,33,2,Florida St.,0,292.0,18.0,0,0,8.18
Ladd McConkey,WR,2024,34,2,Georgia,0,20.0,34.7,1,0,9.34
Ja'Lynn Polk,WR,2024,37,2,Washington,0,815.0,9.2,0,0,8.85
Adonai Mitchell,WR,2024,52,2,Texas,0,539.0,13.100000000000001,0,0,9.99
Malachi Corley,WR,2024,65,3,Western Kentucky,0,1741.0,2.0,0,0,7.76
Jermaine Burton,WR,2024,80,3,Alabama,0,1155.0,5.7,0,0,9.09
Roman Wilson,WR,2024,84,3,Michigan,0,999.0,0.0,0,0,8.59
Jalen McMillan,WR,2024,92,3,Washington,0,120.0,23.0,0,0,8.67
Luke McCaffrey,WR,2024,100,3,Rice,0,993.0,7.4,0,0,9.44
Troy Franklin,WR,2024,102,4,Oregon,0,515.0,13.4,0,0,9.02
Javon Baker,WR,2024,110,4,Central Florida,0,1701.0,2.2,0,0,7.84
Devontez Walker,WR,2024,113,4,North Carolina,0,834.0,9.1,0,0,9.76
Jacob Cowing,WR,2024,135,4,Arizona,0,1036.0,7.0,0,0,6.28
Anthony Gould,WR,2024,142,5,Oregon St.,0,1504.0,3.3000000000000003,0,0,8.87
Ainias Smith,WR,2024,152,5,Texas A&M,0,484.0,13.9,0,0,7.36
Jamari Thrash,WR,2024,156,5,Louisville,0,1542.0,3.1,0,0,6.77
Bub Means,WR,2024,170,5,Pittsburgh,0,401.0,15.5,0,0,9.35
Jha'Quan Jackson,WR,2024,182,6,Tulane,0,1931.0,1.3,0,0,5.34
Malik Washington,WR,2024,184,6,Virginia,0,704.0,10.5,0,0,8.63
Johnny Wilson,WR,2024,185,6,Florida St.,0,977.0,7.5,0,0,9.7
Casey Washington,WR,2024,187,6,Illinois,0,1670.0,2.4000000000000004,0,0,7.15
Tejhaun Palmer,WR,2024,191,6,Ala-Birmingham,0,999.0,0.0,0,0,9.57
Jordan Whittington,WR,2024,213,6,Texas,0,382.0,15.9,0,0,
