player_name,college,draft_year,season,cfbd_school,status,cfbd_name,rush_yards,rush_attempts,rush_tds,rec_tds
Isaiah Davis,South Dakota St.,2024,2023,South Dakota State,found,Isaiah Davis,1529.0,227.0,17.0,1.0
Kimani Vidal,Troy,2024,2023,Troy,found,Kimani Vidal,1662.0,296.0,14.0,1.0
Jase McClellan,Alabama,2024,2023,Alabama,found,Jase McClellan,890.0,180.0,8.0,0.0
Jawhar Jordan,Louisville,2024,2023,Louisville,found,Jawhar Jordan,1128.0,181.0,13.0,1.0
Dylan Laube,New Hampshire,2024,2023,,skipped,,,,,
Ashton Jeanty,Boise St.,2025,2024,Boise State,found,Ashton Jeanty,2601.0,374.0,29.0,1.0
Omarion Hampton,North Carolina,2025,2024,North Carolina,found,Omarion Hampton,1660.0,281.0,15.0,2.0
Quinshon Judkins,Ohio St.,2025,2024,Ohio State,found,Quinshon Judkins,1060.0,194.0,14.0,2.0
TreVeyon Henderson,Ohio St.,2025,2024,Ohio State,found,TreVeyon Henderson,1016.0,144.0,10.0,1.0
RJ Harvey,Central Florida,2025,2024,UCF,found,RJ Harvey,1577.0,232.0,22.0,3.0
Kaleb Johnson,Iowa,2025,2024,Iowa,found,Kaleb Johnson,1537.0,240.0,21.0,2.0
Bhayshul Tuten,Virginia Tech,2025,2024,Virginia Tech,found,Bhayshul Tuten,1158.0,183.0,15.0,2.0
Cam Skattebo,Arizona St.,2025,2024,Arizona State,found,Cameron Skattebo,1715.0,293.0,21.0,3.0
Trevor Etienne,Georgia,2025,2024,Georgia,found,Trevor Etienne,609.0,122.0,9.0,0.0
Woody Marks,USC,2025,2024,Mississippi State,found,Jo'quavious Marks,573.0,121.0,4.0,2.0
Jarquez Hunter,Auburn,2025,2024,Auburn,found,Jarquez Hunter,1201.0,187.0,8.0,1.0
Dylan Sampson,Tennessee,2025,2024,Tennessee,found,Dylan Sampson,1491.0,258.0,22.0,0.0
Jordan James,Oregon,2025,2024,Oregon,found,Jordan James,1267.0,233.0,15.0,0.0
Jaydon Blue,Texas,2025,2024,Texas,found,Jaydon Blue,730.0,134.0,8.0,6.0
DJ Giddens,Kansas St.,2025,2024,Kansas State,found,DJ Giddens,1343.0,205.0,7.0,1.0
