draft_year,player_name,position,college,pick,age,rec_yards,team_pass_attempts,weight,forty,weight_source,forty_source,full_athletic_data,draft_capital_score,breakout_score,athletic_score,slap_score,position_convert,tier
2022,Rachaad White,RB,Arizona State,91,23.0,456.0,313.0,214.0,4.48,existing,existing,True,51.2,85.1,55.2,90.9,False,Elite
2022,Tyrion Davis-Price,RB,LSU,93,21.0,64.0,443.0,211.0,4.48,existing,existing,True,50.9,31.8,52.6,33.8,False,Below Avg
2022,Brian Robinson Jr.,RB,Alabama,98,23.0,296.0,571.0,225.0,4.53,combine,combine,True,50.1,45.9,56.3,60.1,False,Average
2022,David Bell,WR,Purdue,99,21.0,1286.0,576.0,212.0,4.65,existing,existing,True,45.7,57.7,33.4,49.4,False,Average
2022,Danny Gray,WR,SMU,105,23.0,803.0,468.0,186.0,4.33,existing,existing,True,45.2,40.2,58.4,43.5,False,Below Avg
2022,Dameon Pierce,RB,Florida,107,22.0,216.0,416.0,218.0,4.59,existing,existing,True,48.8,48.6,41.0,47.7,False,Below Avg
2022,Zamir White,RB,Georgia,122,22.0,75.0,407.0,214.0,4.4,existing,existing,True,47.0,32.9,69.2,44.8,False,Below Avg
2022,Isaiah Spiller,RB,Texas A&M,123,21.0,189.0,370.0,217.0,4.63,existing,pro_day,True,46.9,50.9,34.3,41.6,False,Average
2022,Erik Ezukanma,WR,Texas Tech,125,22.0,705.0,388.0,209.0,4.53,existing,pro_day,True,43.8,45.5,47.5,38.3,False,Below Avg
2022,Pierre Strong,RB,South Dakota St.,127,23.0,8.0,406.0,207.0,4.37,existing,existing,True,46.5,25.1,68.1,27.6,False,Below Avg
2022,Hassan Haskins,RB,Michigan,131,22.0,131.0,395.0,228.0,4.58,existing,combine,True,46.1,39.8,50.6,34.7,False,Below Avg
2022,Romeo Doubs,WR,Nevada,132,22.0,1109.0,572.0,201.0,4.5,existing,pro_day,True,43.4,47.8,45.5,39.0,False,Below Avg
2022,Calvin Austin III,WR,Memphis,138,23.0,1149.0,445.0,170.0,4.32,combine,combine,True,43.0,54.3,44.8,48.4,False,Below Avg
2022,Khalil Shakir,WR,Boise State,148,22.0,1117.0,410.0,196.0,4.43,existing,existing,True,42.5,62.1,51.7,64.0,False,Average
2022,Tyler Allgeier,RB,BYU,151,22.0,199.0,389.0,224.0,4.6,existing,existing,True,44.4,48.3,44.3,41.2,False,Below Avg
2022,Snoop Conner,RB,Mississippi,154,22.0,82.0,429.0,222.0,4.59,existing,existing,True,44.1,33.2,44.2,15.6,False,Below Avg
2022,Jerome Ford,RB,Cincinnati,156,22.0,220.0,400.0,210.0,4.46,existing,existing,True,44.0,50.1,55.0,53.9,False,Average
2022,Montrell Washington,WR,Samford,162,23.0,124.0,,,,missing,not_recorded,False,41.9,,,,False,
2022,Kyle Philips,WR,UCLA,163,23.0,739.0,335.0,189.0,4.58,existing,existing,True,41.9,48.2,25.5,16.6,False,Below Avg
2022,Kyren Williams,RB,Notre Dame,164,22.0,359.0,450.0,194.0,4.65,existing,existing,True,43.4,61.7,14.1,30.2,False,Below Avg
2022,Ty Chandler,RB,North Carolina,169,24.0,216.0,382.0,204.0,4.38,existing,existing,True,43.1,44.9,63.3,52.3,False,Average
2022,Kevin Harris,RB,South Carolina,183,21.0,89.0,360.0,221.0,4.62,existing,pro_day,True,42.2,37.2,38.9,13.6,False,Below Avg
2022,Jalen Nailor,WR,Michigan State,191,23.0,695.0,400.0,186.0,4.5,existing,existing,True,40.8,40.5,33.4,11.4,False,Below Avg
2022,Tyler Badie,RB,Missouri,196,22.0,330.0,455.0,197.0,4.45,existing,existing,True,41.5,58.3,45.0,53.6,False,Average
2022,Keaontay Ingram,RB,USC,201,22.0,156.0,500.0,221.0,4.53,existing,existing,True,41.2,38.9,52.9,23.4,False,Below Avg
2022,Michael Woods II,WR,Oklahoma,202,22.0,400.0,403.0,204.0,4.55,existing,existing,True,40.5,30.4,40.8,4.9,False,Below Avg
2022,Trestan Ebner,RB,Baylor,203,23.0,284.0,365.0,206.0,4.43,existing,existing,True,41.1,56.7,56.5,58.4,False,Average
2022,Bo Melton,WR,Rutgers,229,23.0,618.0,394.0,189.0,4.34,existing,existing,True,39.8,37.8,59.6,26.3,False,Below Avg
2022,Dareke Young,WR,Lenoir-Rhyne,233,23.0,303.0,,,,missing,not_recorded,False,39.7,,,,False,
2022,Brittain Brown,RB,UCLA,250,24.0,129.0,335.0,,,missing,not_recorded,False,39.1,38.3,,9.1,False,Below Avg
2022,Isiah Pacheco,RB,Rutgers,251,23.0,25.0,394.0,216.0,4.37,existing,existing,True,39.1,26.9,76.8,22.1,False,Below Avg
2022,Samori Toure,WR,Nebraska,258,24.0,898.0,342.0,,,missing,not_recorded,False,39.1,49.6,,29.2,False,Below Avg
2022,Zander Horvath,RB,Purdue,260,23.0,108.0,576.0,,,missing,not_recorded,False,38.8,32.1,,3.2,False,Below Avg
2023,Bijan Robinson,RB,Texas,8,21.0,314.0,405.0,215.0,4.46,existing,existing,True,100.0,64.7,59.5,98.4,False,Elite
2023,Jahmyr Gibbs,RB,Alabama,12,21.0,444.0,438.0,199.0,4.36,existing,existing,True,100.0,77.1,62.1,99.0,False,Elite
2023,Jaxon Smith-Njigba,WR,Ohio State,20,21.0,43.0,410.0,196.0,4.48,existing,pro_day,True,66.7,14.4,44.3,29.9,False,Below Avg
2023,Quentin Johnston,WR,TCU,21,22.0,1069.0,454.0,208.0,4.49,existing,pro_day,True,65.8,55.4,52.7,84.7,False,Good
2023,Zay Flowers,WR,Boston Col.,22,22.0,1077.0,440.0,182.0,4.42,existing,existing,True,64.9,57.1,41.1,80.2,False,Good
2023,Jordan Addison,WR,USC,23,21.0,875.0,514.0,173.0,4.49,existing,existing,True,64.1,46.9,24.2,60.7,False,Average
2023,Jonathan Mingo,WR,Mississippi,39,22.0,862.0,386.0,220.0,4.46,existing,existing,True,55.9,53.1,67.3,79.5,False,Good
2023,Jayden Reed,WR,Michigan State,50,23.0,636.0,412.0,187.0,4.45,existing,existing,True,52.7,37.4,41.1,37.7,False,Below Avg
2023,Zach Charbonnet,RB,UCLA,52,22.0,321.0,419.0,214.0,4.53,existing,existing,True,61.0,60.2,47.0,80.8,False,Good
2023,Rashee Rice,WR,SMU,55,23.0,1355.0,513.0,204.0,4.51,existing,existing,True,51.5,55.2,46.5,66.6,False,Average
2023,Marvin Mims,WR,Oklahoma,63,21.0,1083.0,407.0,183.0,4.38,existing,existing,True,50.0,66.4,47.8,75.6,False,Good
2023,Tank Dell,WR,Houston,69,23.0,1398.0,501.0,165.0,4.49,existing,existing,True,49.1,57.7,17.7,41.9,False,Below Avg
2023,Kendre Miller,RB,TCU,71,21.0,116.0,454.0,215.0,,existing,did_not_run,False,55.2,37.6,,49.7,False,Average
2023,Jalin Hyatt,WR,Tennessee,73,21.0,1267.0,422.0,176.0,4.4,existing,existing,True,48.5,73.3,38.7,75.3,False,Good
2023,Cedric Tillman,WR,Tennessee,74,23.0,417.0,422.0,213.0,4.54,existing,existing,True,48.3,28.4,49.2,17.9,False,Below Avg
2023,Josh Downs,WR,North Carolina,79,22.0,1029.0,525.0,171.0,4.48,existing,existing,True,47.7,48.1,23.8,26.3,False,Below Avg
