player_name,draft_year,pick,round,college,age,RAS,rec_yards,best_ppr,hit24,dc_score,match_status,college_season,pff_file_source,elusive_rating,yards,attempts,yco_attempt,grades_run,grades_offense,team_name
DeeJay Dallas,2020,144,4,Miami (FL),21.0,,140.0,60.1,0,,MATCHED,2019,rushing_summary (5).csv,118.0,687.0,115.0,3.54,83.0,78.3,MIAMI FL
Eno Benjamin,2020,222,7,Arizona St.,21.0,5.76,347.0,89.60000000000001,0,,MATCHED,2019,rushing_summary (5).csv,69.9,1067.0,253.0,2.91,80.4,75.7,ARIZONA ST
Raymond Calais,2020,245,7,Louisiana,22.0,7.6,67.0,0.0,0,,MATCHED,2019,rushing_summary (5).csv,64.7,878.0,113.0,3.37,86.1,80.9,LA LAFAYET
Malcolm Perry,2020,246,7,Navy,23.0,,167.0,24.7,0,,MATCHED,2019,rushing_summary (5).csv,97.5,2093.0,287.0,3.88,86.7,89.4,NAVY
Najee Harris,2021,24,1,Alabama,23.0,,425.0,303.5,1,,MATCHED,2020,rushing_summary (6).csv,102.7,1464.0,252.0,3.26,90.1,89.8,ALABAMA
Travis Etienne,2021,25,1,Clemson,22.0,9.12,588.0,282.4,1,,MATCHED,2020,rushing_summary (6).csv,102.4,923.0,166.0,3.84,81.1,82.0,CLEMSON
Javonte Williams,2021,35,2,North Carolina,21.0,8.79,305.0,204.9,1,,MATCHED,2020,rushing_summary (6).csv,215.4,1168.0,157.0,4.59,95.9,94.3,N CAROLINA
Trey Sermon,2021,88,3,Ohio St.,22.0,9.67,95.0,53.8,0,,MATCHED,2020,rushing_summary (6).csv,116.9,870.0,116.0,4.04,88.0,86.1,OHIO STATE
Michael Carter,2021,107,4,North Carolina,22.0,6.2,267.0,154.4,0,,MATCHED,2020,rushing_summary (6).csv,135.1,1245.0,157.0,4.47,91.1,91.7,N CAROLINA
Kene Nwangwu,2021,119,4,Iowa St.,23.0,9.88,22.0,11.0,0,,MATCHED,2020,rushing_summary (6).csv,51.7,339.0,61.0,3.31,74.5,72.1,IOWA STATE
Rhamondre Stevenson,2021,120,4,Oklahoma,23.0,3.98,211.0,249.1,1,,MATCHED,2020,rushing_summary (6).csv,140.6,665.0,101.0,3.89,90.5,90.4,OKLAHOMA
Chuba Hubbard,2021,126,4,Oklahoma St.,22.0,8.43,52.0,241.6,1,,MATCHED,2020,rushing_summary (6).csv,44.3,627.0,133.0,2.5,71.8,71.9,OKLA STATE
Elijah Mitchell,2021,194,6,Louisiana,23.0,9.5,153.0,200.6,1,,MATCHED,2020,rushing_summary (6).csv,120.8,869.0,141.0,4.04,85.5,85.8,LA LAFAYET
Gary Brightwell,2021,196,6,Arizona,22.0,4.57,58.0,30.0,0,,MATCHED,2020,rushing_summary (6).csv,108.7,400.0,87.0,3.59,74.6,70.2,ARIZONA
Larry Rountree,2021,198,6,Missouri,22.0,2.01,100.0,15.6,0,,MATCHED,2020,rushing_summary (6).csv,46.2,989.0,211.0,2.37,76.5,76.8,MISSOURI
Chris Evans,2021,202,6,Michigan,23.0,9.84,87.0,52.400000000000006,0,,MATCHED,2020,rushing_summary (6).csv,68.3,73.0,16.0,2.44,64.9,65.9,MICHIGAN
Demetric Felton,2021,211,6,UCLA,23.0,,159.0,50.5,0,,MATCHED,2020,rushing_summary (6).csv,91.5,668.0,132.0,3.36,80.3,79.2,UCLA
Khalil Herbert,2021,217,6,Virginia Tech,23.0,6.14,179.0,117.8,0,,MATCHED,2020,rushing_summary (6).csv,126.3,1172.0,155.0,4.74,91.3,89.5,VA TECH
Jake Funk,2021,233,7,Maryland,23.0,9.76,68.0,3.2,0,,MATCHED,2020,rushing_summary (6).csv,60.7,515.0,61.0,3.03,84.9,82.6,MARYLAND
Gerrid Doaks,2021,244,7,Cincinnati,23.0,8.3,202.0,0.0,0,,MATCHED,2020,rushing_summary (6).csv,44.5,673.0,144.0,2.7,74.1,73.8,CINCINNATI
Kylin Hill,2021,256,7,Mississippi St.,23.0,7.28,237.0,3.9,0,,MATCHED,2020,rushing_summary (6).csv,77.9,58.0,15.0,2.47,68.7,69.6,MISS STATE
Jermar Jefferson,2021,257,7,Oregon St.,21.0,2.22,67.0,25.700000000000003,0,,MATCHED,2020,rushing_summary (6).csv,74.9,858.0,133.0,3.67,79.4,79.3,OREGON ST
Breece Hall,2022,36,2,Iowa St.,21.0,9.96,302.0,290.5,1,,MATCHED,2021,rushing_summary (7).csv,88.8,1460.0,252.0,2.83,87.0,86.6,IOWA STATE
Kenneth Walker III,2022,41,2,Michigan St.,21.0,9.24,89.0,199.4,1,,MATCHED,2021,rushing_summary (7).csv,145.9,1634.0,262.0,4.46,90.7,89.3,MICH STATE
James Cook,2022,63,2,Georgia,22.0,8.75,284.0,324.3,1,,MATCHED,2021,rushing_summary (7).csv,86.6,728.0,113.0,3.91,83.2,85.0,GEORGIA
Rachaad White,2022,91,3,Arizona St.,23.0,9.87,456.0,295.5,1,,MATCHED,2021,rushing_summary (7).csv,89.8,1000.0,183.0,3.38,90.5,90.8,ARIZONA ST
Tyrion Davis-Price,2022,93,3,LSU,21.0,6.65,64.0,9.9,0,,MATCHED,2021,rushing_summary (7).csv,54.5,1015.0,211.0,2.8,77.8,78.5,LSU
Brian Robinson Jr.,2022,98,3,Alabama,23.0,6.58,296.0,0.0,0,,MATCHED,2021,rushing_summary (7).csv,92.4,1343.0,271.0,3.29,90.4,85.9,ALABAMA
Dameon Pierce,2022,107,4,Florida,22.0,7.09,216.0,166.4,0,,MATCHED,2021,rushing_summary (7).csv,138.0,574.0,100.0,3.65,93.5,92.0,FLORIDA
Zamir White,2022,122,4,Georgia,22.0,9.81,75.0,73.9,0,,MATCHED,2021,rushing_summary (7).csv,83.1,859.0,161.0,3.6,87.6,87.5,GEORGIA
Isaiah Spiller,2022,123,4,Texas A&M,21.0,5.66,189.0,19.0,0,,MATCHED,2021,rushing_summary (7).csv,120.0,1016.0,178.0,3.63,85.1,83.2,TEXAS A&M
Hassan Haskins,2022,131,4,Michigan,22.0,,131.0,33.3,0,,MATCHED,2021,rushing_summary (7).csv,60.5,1327.0,270.0,3.06,89.0,91.2,MICHIGAN
Snoop Conner,2022,154,5,Mississippi,22.0,7.03,82.0,10.2,0,,MATCHED,2021,rushing_summary (7).csv,44.9,642.0,130.0,2.48,76.4,75.6,OLE MISS
Jerome Ford,2022,156,5,Cincinnati,22.0,6.91,220.0,220.4,1,,MATCHED,2021,rushing_summary (7).csv,73.0,1307.0,214.0,3.07,89.4,86.1,CINCINNATI
Kyren Williams,2022,164,5,Notre Dame,22.0,3.46,359.0,299.8,1,,MATCHED,2021,rushing_summary (7).csv,108.6,990.0,204.0,3.71,80.0,81.2,NOTRE DAME
Ty Chandler,2022,169,5,North Carolina,24.0,6.35,216.0,101.0,0,,MATCHED,2021,rushing_summary (7).csv,102.0,1097.0,183.0,3.86,87.8,85.9,N CAROLINA
Kevin Harris,2022,183,6,South Carolina,21.0,7.13,89.0,21.3,0,,MATCHED,2021,rushing_summary (7).csv,47.9,655.0,153.0,3.14,85.1,80.2,S CAROLINA
Tyler Badie,2022,196,6,Missouri,22.0,6.38,330.0,10.2,0,,MATCHED,2021,rushing_summary (7).csv,72.2,1604.0,271.0,3.38,88.2,85.7,MISSOURI
Keaontay Ingram,2022,201,6,USC,22.0,8.67,156.0,18.1,0,,MATCHED,2021,rushing_summary (7).csv,89.5,911.0,156.0,3.71,91.6,87.3,USC
Trestan Ebner,2022,203,6,Baylor,23.0,4.77,284.0,8.200000000000001,0,,MATCHED,2021,rushing_summary (7).csv,118.5,778.0,150.0,3.42,76.0,77.5,BAYLOR
Brittain Brown,2022,250,7,UCLA,24.0,4.75,129.0,0.0,0,,MATCHED,2021,rushing_summary (7).csv,81.3,616.0,102.0,3.9,77.6,78.1,UCLA
Isiah Pacheco,2022,251,7,Rutgers,23.0,8.85,,279.2,1,,MATCHED,2021,rushing_summary (7).csv,24.0,654.0,166.0,2.87,77.4,76.7,RUTGERS
Zander Horvath,2022,260,7,Purdue,23.0,9.83,,18.6,0,,MATCHED,2021,rushing_summary (7).csv,56.6,319.0,91.0,2.78,77.7,74.9,PURDUE
Bijan Robinson,2023,8,1,Texas,21.0,9.85,314.0,341.7,1,,MATCHED,2022,rushing_summary (8).csv,154.0,1575.0,257.0,4.17,96.1,95.3,TEXAS
Jahmyr Gibbs,2023,12,1,Alabama,21.0,8.06,444.0,390.4,1,,MATCHED,2022,rushing_summary (8).csv,93.9,926.0,151.0,3.39,83.3,82.5,ALABAMA
Zach Charbonnet,2023,52,2,UCLA,22.0,8.71,321.0,183.7,0,,MATCHED,2022,rushing_summary (8).csv,115.1,1358.0,194.0,4.15,93.6,91.5,UCLA
Kendre Miller,2023,71,3,TCU,21.0,,116.0,43.3,0,,MATCHED,2022,rushing_summary (8).csv,113.8,1399.0,224.0,3.64,88.5,85.3,TCU
Tyjae Spears,2023,81,3,Tulane,22.0,7.51,256.0,153.8,0,,MATCHED,2022,rushing_summary (8).csv,133.2,1586.0,231.0,4.55,90.6,90.2,TULANE
