prospect,position,prospect_college,prospect_pick,prospect_year,comp_rank,comp_player,comp_college,comp_pick,comp_year,similarity_score,comparison_coverage,dominant_category,category_breakdown,hit24,hit12,career_ppg,first_3yr_ppg,nfl_best_season_ppg
Kenyon Sadiq,TE,Oregon,0,2026,2,Noah Fant,Iowa,0,2019,90.7,0.55,production,draft_capital=0.02; size_speed=0.24; production=0.57; slap_score=0.25,1.0,0.0,10.664285778999329,10.664285778999329,10.664285778999329
Kenyon Sadiq,TE,Oregon,0,2026,3,Terrance Ferguson,Oregon,0,2025,90.7,0.55,production,draft_capital=0.32; size_speed=0.06; production=0.50; slap_score=0.29,0.0,0.0,4.736363636363636,4.736363636363636,4.736363636363636
Kenyon Sadiq,TE,Oregon,0,2026,4,O.J. Howard,Alabama,0,2017,90.0,0.55,production,draft_capital=0.00; size_speed=0.18; production=0.61; slap_score=0.28,1.0,1.0,12.05,12.05,12.05
Kenyon Sadiq,TE,Oregon,0,2026,5,Hayden Hurst,South Carolina,0,2018,88.8,0.55,size_speed,draft_capital=0.07; size_speed=0.99; production=0.50; slap_score=0.06,0.0,0.0,9.318750075995922,9.318750075995922,9.318750075995922
Kenyon Sadiq,TE,Oregon,0,2026,6,Mason Taylor,LSU,0,2025,88.6,0.55,production,draft_capital=0.21; size_speed=0.29; production=0.66; slap_score=0.34,0.0,0.0,6.684615384615385,6.684615384615385,6.684615384615385
Kenyon Sadiq,TE,Oregon,0,2026,7,Elijah Arroyo,Miami (FL),0,2025,87.8,0.55,size_speed,draft_capital=0.38; size_speed=0.59; production=0.53; slap_score=0.47,0.0,0.0,2.9923076923076923,2.9923076923076923,2.9923076923076923
Kenyon Sadiq,TE,Oregon,0,2026,8,Luke Schoonmaker,Michigan,0,2023,87.5,0.55,production,draft_capital=0.52; size_speed=0.22; production=0.54; slap_score=0.51,0.0,0.0,5.71,5.71,5.71
Kenyon Sadiq,TE,Oregon,0,2026,9,David Njoku,Miami (FL),0,2017,87.2,0.55,production,draft_capital=0.11; size_speed=0.06; production=0.86; slap_score=0.15,1.0,0.0,13.5,9.593333333333334,13.5
Kenyon Sadiq,TE,Oregon,0,2026,10,Drew Sample,Washington,0,2019,85.7,0.55,slap_score,draft_capital=0.41; size_speed=0.24; production=0.59; slap_score=0.68,0.0,0.0,4.9312499538064,4.9312499538064,4.9312499538064
Eli Stowers,TE,Vanderbilt,0,2026,1,Gerald Everett,South Alabama,0,2017,89.5,0.55,production,draft_capital=0.26; size_speed=0.26; production=0.56; slap_score=0.38,0.0,0.0,9.3,7.483333333333333,9.3
Eli Stowers,TE,Vanderbilt,0,2026,2,Tucker Kraft,South Dakota St.,0,2023,88.7,0.55,production,draft_capital=0.13; size_speed=0.11; production=0.76; slap_score=0.07,1.0,1.0,14.65,14.65,14.65
