player_name,draft_year,pick,breakout_age,RAS,team_quality,predicted_ppg,slap_regression,slap_current,best_ppg,hit24
Kyle Philips,2022,163,19.0,8.31,0,5.397692617005858,20.460885286020236,51.5773082477215,1.947058823529412,0
Jalen Nailor,2022,191,20.0,8.09,1,4.056466444569903,13.669374890156202,47.05184106556356,6.547058823529412,0
Michael Woods II,2022,202,,,2,2.4073713582071314,5.318921660884856,34.15105603472188,0.7941176470588235,0
Bo Melton,2022,229,19.0,9.23,0,5.124427221843423,19.077162830988744,51.603252513390245,3.323529411764706,0
Dareke Young,2022,233,,9.93,0,2.8793029526624294,7.708621769449428,36.790118960536155,0.38235294117647056,0
Samori Toure,2022,258,21.0,6.14,1,2.1766536505575087,4.150646136432133,39.750059677472734,1.1294117647058823,0
Jaxon Smith-Njigba,2023,20,20.0,8.34,2,10.858952253273749,48.11483534789701,62.58444941344989,14.882352941176471,1
Quentin Johnston,2023,21,19.0,8.68,1,11.77399382899228,52.74829277801361,66.13297064907607,10.276470588235295,0
Zay Flowers,2023,22,19.0,8.29,0,12.006419421120707,53.92521644506234,65.09672418076661,13.847058823529412,1
Jordan Addison,2023,23,21.0,5.94,2,8.536073285791392,36.35257110029588,54.16703335782548,13.01764705882353,1
Jonathan Mingo,2023,39,21.0,9.87,0,7.6955172450959575,32.096282932043664,54.67135182843885,4.988235294117647,0
Jayden Reed,2023,50,19.0,6.74,1,7.972579476789567,33.499231268065856,55.77160583525004,13.270588235294117,1
Rashee Rice,2023,55,19.0,9.53,1,8.737794915161468,37.37402040623158,58.91874858842357,15.952941176470588,1
Marvin Mims,2023,63,20.0,,1,7.500775725949766,31.110178515824582,51.824002328666246,7.811764705882354,0
Tank Dell,2023,69,19.0,,1,8.4362682903207,35.8471927545488,54.887011785547635,9.705882352941176,0
Jalin Hyatt,2023,73,21.0,8.76,3,5.416575002578639,20.556499225377944,48.828644721293415,3.5470588235294116,0
Cedric Tillman,2023,74,20.0,8.67,3,6.0733679789988555,23.882274116265243,52.25180192726072,4.729411764705882,0
Josh Downs,2023,79,20.0,8.99,3,6.418730968806742,25.63107412019519,52.313054272561914,10.717647058823529,0
Michael Wilson,2023,94,18.0,9.55,2,7.295856713487548,30.072538755992202,58.179472273130926,7.323529411764706,0
Tre Tucker,2023,100,21.0,7.16,2,4.249988790855406,14.649305832185858,44.93314616631004,7.605882352941177,0
Derius Davis,2023,125,,4.29,1,2.624659674573477,6.419195343153978,31.49544466809084,2.423529411764706,0
Charlie Jones,2023,131,21.0,,2,4.404085357936917,15.42959811905667,44.319562299650876,1.2176470588235293,0
Tyler Scott,2023,133,21.0,8.61,2,3.933670132464685,13.047576384150549,45.57756587848884,2.1117647058823534,0
Justin Shorter,2023,150,,7.94,1,2.883738211229318,7.7310804011734575,35.69473262168554,0.0,0
Dontayvion Wicks,2023,159,20.0,9.17,0,4.745585795590611,17.158839480567554,49.22379401230061,7.66235294117647,0
Puka Nacua,2023,177,20.0,5.18,1,3.637285940512087,11.546788252973556,43.36182387034175,19.494117647058825,1
Parker Washington,2023,185,19.0,,1,5.715328206894869,22.069283224534693,50.179986185740056,5.705882352941177,0
Kayshon Boutte,2023,187,19.0,4.99,3,4.340535866378982,15.10780523919979,46.523555858786196,7.170588235294118,0
Trey Palmer,2023,191,21.0,6.18,1,2.7067094928562963,6.834667547095877,40.819111907790074,6.729411764705882,0
A.T. Perry,2023,195,20.0,9.62,0,4.996003284928564,18.426867958610167,49.06526855284471,3.5647058823529414,0
Elijah Higgins,2023,197,21.0,8.94,2,3.280158233233392,9.738415745427544,44.474807173330625,0.0,0
Xavier Hutchinson,2023,205,19.0,7.27,0,5.41502795027656,20.548665481891238,49.30574658208688,2.1941176470588233,0
Andrei Iosivas,2023,206,,9.96,0,3.0687608818279766,8.667971893947634,37.2490072620118,7.052941176470589,0
DeMario Douglas,2023,210,20.0,7.34,0,4.2186384522127645,14.490558444771953,45.69157642542052,8.688235294117648,0
Antoine Green,2023,219,21.0,8.68,3,3.183755292995706,9.250264243263679,43.75097892243109,0.07058823529411765,0
Colton Dowell,2023,228,,9.78,0,2.8835371296027588,7.73006219262276,36.65713632276172,0.07647058823529412,0
Jalen Brooks,2023,244,,5.6,1,1.3569604002765143,0.0,30.729914930167155,2.1,0
Ronnie Bell,2023,253,18.0,8.2,1,5.650419213988356,21.74060629504337,52.29185107473955,1.811764705882353,0
Grant Dubose,2023,256,20.0,,0,4.377390442245909,15.294424200475204,45.44729758872133,0.1823529411764706,0
