player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,best_ppg,dc_raw,breakout_score,dc_norm,breakout_norm,ras_norm,slap_score,athletic_status,athletic_contrib,delta
Khalil Shakir,WR,2022,148,3,27.0,217.9,0,0,8.31,19.0,12.81764705882353,0.08219949365267865,90,41.88112498569597,63.62218280635726,55.60967060821,51.54977706630452,observed,8.3414505912315,9.668652080608553
Montrell Washington,WR,2022,162,2,110.0,56.8,0,0,4.32,,3.341176470588235,0.07856742013183861,25,41.15151929902136,25.96215469072998,22.211807781618642,32.99428495850897,observed,3.3317711672427963,-8.157234340512389
Kyle Philips,WR,2022,163,2,138.0,33.1,0,0,8.31,20.0,1.947058823529412,0.07832604499879574,75,41.103032210673774,54.931407087366345,55.60967060821,48.11895917714661,observed,8.3414505912315,7.015926966472833
Jalen Nailor,WR,2022,191,3,74.0,111.3,0,0,8.09,21.0,6.547058823529412,0.07235746052924216,60,39.90407157692072,46.24063136837544,53.76818443732025,44.2014844329898,observed,8.065227665598037,4.29741285606908
Michael Woods II,WR,2022,202,2,164.0,13.5,0,0,,,0.7941176470588235,0.07035975447302918,25,39.50277526764882,25.96215469072998,,36.338141775579906,imputed_avg,7.5,-3.1646334920689156
Bo Melton,WR,2022,229,2,110.0,56.5,0,0,9.23,20.0,3.323529411764706,0.06608186004550898,75,38.64343800935718,54.931407087366345,63.3104309592035,48.04427612913734,observed,9.496564643880525,9.400838119780154
Dareke Young,WR,2022,233,2,181.0,6.5,0,0,9.93,,0.38235294117647056,0.06551217820804184,25,38.52900114407172,25.96215469072998,69.16970513930724,38.726710484687445,observed,10.375455770896085,0.19770934061572376
Samori Toure,WR,2022,258,2,151.0,19.2,0,0,6.14,23.0,1.1294117647058823,0.062257280636469035,30,37.87516201770578,28.85907993039362,37.44592064988838,34.655147081973915,observed,5.6168880974832565,-3.220014935731868
Jaxon Smith-Njigba,WR,2023,20,2,14.0,253.0,1,0,8.34,19.0,14.882352941176471,0.22360679774997896,90,70.28682013881998,63.62218280635726,55.860782358785876,65.7902914054529,observed,8.37911735381788,-4.496528733367072
Quentin Johnston,WR,2023,21,2,41.0,174.70000000000002,0,0,8.68,19.0,10.276470588235295,0.2182178902359924,90,69.20430417525029,63.62218280635726,58.70671553197912,65.67592339964705,observed,8.806007329796868,-3.528380775603239
Zay Flowers,WR,2023,22,2,19.0,235.4,1,0,8.29,19.0,13.847058823529412,0.21320071635561041,90,68.19646152747387,63.62218280635726,55.44226277449275,64.68233416213589,observed,8.316339416173912,-3.514127365337984
Jordan Addison,WR,2023,23,2,24.0,221.3,1,0,5.94,,13.01764705882353,0.20851441405707477,25,67.25508388550999,25.96215469072998,35.77184231271589,48.08007243141787,observed,5.365776346907383,-19.17501145409212
Jonathan Mingo,WR,2023,39,2,82.0,84.8,0,0,9.87,21.0,4.988235294117647,0.16012815380508713,60,57.535321762246916,46.24063136837544,68.6674816381555,55.252004105778184,observed,10.300122245723324,-2.283317656468732
Jayden Reed,WR,2023,50,2,24.0,225.6,1,0,6.74,20.0,13.270588235294117,0.1414213562373095,75,53.77752726645582,54.931407087366345,42.46815566140588,52.48497946301701,observed,6.370223349210882,-1.2925478034388078
Rashee Rice,WR,2023,55,2,13.0,271.2,1,0,9.53,20.0,15.952941176470588,0.13483997249264842,75,52.45546839877575,54.931407087366345,65.82154846496223,55.32695894971043,observed,9.873232269744335,2.8714905509346806
Marvin Mims,WR,2023,63,2,58.0,132.8,0,0,,19.0,7.811764705882354,0.1259881576697424,90,50.67732861302352,63.62218280635726,,55.106428288736794,imputed_avg,7.5,4.429099675713275
Tank Dell,WR,2023,69,2,41.0,165.0,0,0,,20.0,9.705882352941176,0.1203858530857692,75,49.55194575403208,54.931407087366345,,51.50196535759426,imputed_avg,7.5,1.9500196035621755
Jalin Hyatt,WR,2023,73,2,104.0,60.3,0,0,8.76,20.0,3.5470588235294116,0.11704114719613057,75,48.880066062353926,54.931407087366345,59.376346866848124,52.5724775417824,observed,8.906452030027218,3.692411479428472
Cedric Tillman,WR,2023,74,2,93.0,80.4,0,0,8.67,21.0,4.729411764705882,0.11624763874381928,60,48.72066722972876,46.24063136837544,58.6230116151205,49.338006336063856,observed,8.793451742268074,0.6173391063350948
Josh Downs,WR,2023,79,2,40.0,182.2,0,0,8.99,20.0,10.717647058823529,0.1125087900926024,75,47.96961270897319,54.931407087366345,61.3015369545965,52.40602937825429,observed,9.195230543189474,4.436416669281101
Michael Wilson,WR,2023,94,2,63.0,124.5,0,0,9.55,19.0,7.323529411764706,0.10314212462587934,90,46.08805046897777,63.62218280635726,65.9889562986795,55.21013266151584,observed,9.898343444801924,9.122082192538073
Tre Tucker,WR,2023,100,2,60.0,129.3,0,0,7.16,21.0,7.605882352941177,0.1,60,45.45686500917693,46.24063136837544,45.98372016946813,45.810211508940085,observed,6.897558025420219,0.35334649976315546
Derius Davis,WR,2023,125,2,120.0,41.2,0,0,4.29,,2.423529411764706,0.08944271909999159,25,43.33613365936497,25.96215469072998,21.96069603104276,34.048925376094395,observed,3.294104404656414,-9.287208283270573
Charlie Jones,WR,2023,131,2,159.0,20.7,0,0,,23.0,1.2176470588235293,0.0873704056661038,30,42.91985032774699,28.85907993039362,,39.06060313951126,imputed_avg,7.5,-3.8592471882357344
Tyler Scott,WR,2023,133,2,135.0,35.900000000000006,0,0,8.61,20.0,2.1117647058823534,0.086710996952412,75,42.78738925706882,54.931407087366345,58.12078811396874,49.33780532620794,observed,8.718118217095311,6.550416069139125
Justin Shorter,WR,2023,150,0,,0.0,0,0,7.94,,0.0,0.08164965809277261,25,41.77067481200274,25.96215469072998,52.51262568444088,37.84898540042299,observed,7.876893852666131,-3.9216894115797487
Dontayvion Wicks,WR,2023,159,2,57.0,130.26,0,0,9.17,20.0,7.66235294117647,0.07930515857181442,75,41.29971513206174,54.931407087366345,62.80820745805175,49.297081165316854,observed,9.421231118707762,7.997366033255112
Puka Nacua,WR,2023,177,2,4.0,331.40000000000003,1,1,5.18,20.0,19.494117647058825,0.07516460280028289,75,40.46796626476347,54.931407087366345,29.410344631460383,43.87152730767901,observed,4.411551694719058,3.403561042915541
Parker Washington,WR,2023,185,2,82.0,97.0,0,0,,18.0,5.705882352941177,0.07352146220938077,100,40.137894554416924,69.41603328568453,,51.86455892719805,imputed_avg,7.5,11.726664372781123
Kayshon Boutte,WR,2023,187,2,67.0,121.9,0,0,4.99,18.0,7.170588235294118,0.07312724241271307,100,40.058704250641924,69.41603328568453,27.81997021114651,48.49795930698253,observed,4.172995531671977,8.439255056340606
Trey Palmer,WR,2023,191,2,64.0,114.4,0,0,6.18,21.0,6.729411764705882,0.07235746052924216,60,39.90407157692072,46.24063136837544,37.78073631732288,41.803367214990196,observed,5.667110447598431,1.899295638069475
A.T. Perry,WR,2023,195,1,102.0,60.6,0,0,9.62,21.0,3.5647058823529414,0.0716114874039433,60,39.75422157217781,46.24063136837544,66.57488371668987,46.04756432252379,observed,9.98623255750348,6.293342750345978
Elijah Higgins,WR,2023,197,0,,0.0,0,0,8.94,21.0,0.0,0.07124704998790965,60,39.6810139100395,46.24063136837544,60.88301737030337,45.157180539496665,observed,9.132452605545506,5.476166629457161
Xavier Hutchinson,WR,2023,205,2,122.0,37.3,0,0,7.27,20.0,2.1941176470588233,0.06984302957695782,75,39.3989763163179,54.931407087366345,46.904463254913,45.96115012697412,observed,7.035669488236949,6.562173810656219
Andrei Iosivas,WR,2023,206,2,71.0,119.9,0,0,9.96,,7.052941176470589,0.06967330142916177,25,39.364881570958204,25.96215469072998,69.42081688988313,39.18231746071706,observed,10.413122533482468,-0.18256411024114527
