player_name,position,school,draft_year,pick,round,dc_score,production_score,production_score_raw,production_metric,ras_score,slap_score,delta_vs_dc,production_status,ras_status,breakout_age,nfl_best_ppr,nfl_hit24,nfl_hit12,data_type
Noah Brown,WR,Ohio St.,2017,239,7,30.815673988275364,53.687315634218294,75.34457721350925,breakout_age,68.8,41.08765121922265,10.271977230947286,observed,observed,20.0,101.6,0.0,0.0,backtest
Rodney Adams,WR,South Florida,2017,170,5,44.44517844407706,14.454277286135694,46.434265391219036,breakout_age,60.199999999999996,40.810221445877225,-3.634956998199833,observed,observed,22.0,0.0,0.0,0.0,backtest
David Moore,WR,East Central (OK),2017,226,7,33.25536729822588,25.368731563421832,60.0,breakout_age,89.9,40.17473505653119,6.919367758305313,observed,observed,21.0,101.0,0.0,0.0,backtest
Isaiah Ford,WR,Virginia Tech,2017,237,7,31.187666633411297,56.342182890855455,78.10560864438696,breakout_age,50.5,39.11541988988843,7.927753256477132,observed,observed,20.0,55.6,0.0,0.0,backtest
Trent Taylor,WR,Louisiana Tech,2017,177,5,42.97698723959096,21.238938053097346,50.837565888425125,breakout_age,40.0,38.1828293163536,-4.794157923237364,observed,observed,22.0,98.0,0.0,0.0,backtest
Malachi Dupre,WR,LSU,2017,247,7,29.339380105472458,34.80825958702065,62.74934239368698,breakout_age,72.0,36.83224898596123,7.492868880488771,observed,observed,21.0,0.0,0.0,0.0,backtest
Stacy Coley,WR,Miami (FL),2017,219,7,34.591116608286086,18.58407079646018,48.62233445566779,breakout_age,44.6,32.89103995467799,-1.7000766536080931,observed,observed,22.0,0.0,0.0,0.0,backtest
D.J. Moore,WR,Maryland,2018,24,1,85.18360526375135,67.84660766961652,84.9,breakout_age,96.5,83.41366495536168,-1.769940308389664,observed,observed,20.0,286.5,0.0,1.0,backtest
Christian Kirk,WR,Texas A&M,2018,47,2,76.2836840704932,66.07669616519173,83.39823526137059,breakout_age,62.300000000000004,72.14473387885893,-4.138950191634265,observed,observed,20.0,285.7,0.0,1.0,backtest
Courtland Sutton,WR,SMU,2018,40,2,78.76865523265029,20.943952802359885,50.66664175479242,breakout_age,98.10000000000001,70.10341646169466,-8.665238770955625,observed,observed,22.0,252.8,0.0,1.0,backtest
Dante Pettis,WR,Washington,2018,44,2,77.33014043640625,38.64306784660767,65.81413617347778,breakout_age,68.9,68.3282048529856,-9.001935583420646,observed,imputed,21.0,25.34,0.0,1.0,backtest
Calvin Ridley,WR,Alabama,2018,26,1,84.3076609651975,17.99410029498525,48.39153829921924,breakout_age,51.2,66.07879968637542,-18.22886127882208,observed,observed,22.0,281.5,0.0,1.0,backtest
Anthony Miller,WR,Memphis,2018,51,2,74.92708446694223,8.849557522123893,39.9,breakout_age,92.69999999999999,64.37751640793722,-10.549568059005011,observed,observed,23.0,126.619995,0.0,0.0,backtest
DJ Chark,WR,LSU,2018,61,2,71.70160008687043,34.21828908554572,62.672634271099746,breakout_age,68.9,63.78469787357493,-7.916902213295501,observed,imputed,21.0,225.8,0.0,1.0,backtest
James Washington,WR,Oklahoma St.,2018,60,2,72.01459586635139,40.707964601769916,66.43845862070808,breakout_age,55.5,63.27608023348239,-8.738515632868996,observed,observed,21.0,133.5,0.0,0.0,backtest
Keke Coutee,WR,Texas Tech,2018,103,4,59.92138766628686,59.29203539823009,80.37821906079168,breakout_age,56.4,59.26730906273248,-0.6540786035543817,observed,observed,20.0,90.7,0.0,1.0,backtest
Michael Gallup,WR,Colorado St.,2018,81,3,65.80076958583709,37.16814159292036,65.33298236377995,breakout_age,58.7,59.009128549378175,-6.791641036458913,observed,observed,21.0,212.7,0.0,1.0,backtest
Tre'Quan Smith,WR,Central Florida,2018,91,3,63.061580711070775,37.46312684365782,65.34025040575006,breakout_age,68.5,58.75765283092757,-4.303927880143206,observed,observed,21.0,126.6,0.0,0.0,backtest
Antonio Callaway,WR,Florida,2018,105,4,59.41186469623246,53.98230088495575,75.59269162210339,breakout_age,62.0,58.71417222954226,-0.6976924666902065,observed,observed,20.0,132.3,0.0,0.0,backtest
DaeSean Hamilton,WR,Penn St.,2018,113,4,57.409597693011136,16.8141592920354,47.71126060445387,breakout_age,80.9,52.81407035886431,-4.595527334146823,observed,observed,22.0,66.3,0.0,0.0,backtest
Justin Watson,WR,Pennsylvania,2018,144,5,50.1127276424061,25.368731563421832,60.0,breakout_age,96.1,52.06201928024833,1.9492916378422294,observed,observed,21.0,42.899998,0.0,0.0,backtest
J'Mon Moore,WR,Missouri,2018,133,4,52.626376413965254,16.224188790560472,47.424091362276805,breakout_age,84.3,50.0969824271895,-2.5293939867757516,observed,observed,22.0,3.5,0.0,0.0,backtest
Tremon Smith,WR,Central Arkansas,2018,196,6,39.0990823378889,70.50147492625368,90.0,breakout_age,68.9,49.849698504878525,10.750616166989623,observed,imputed,19.0,0.0,0.0,0.0,backtest
Jaleel Scott,WR,New Mexico St.,2018,132,4,52.85873645151093,18.87905604719764,48.80818337187092,breakout_age,76.0,49.533989902921626,-3.324746548589303,observed,observed,22.0,2.6,0.0,0.0,backtest
Jordan Lasley,WR,UCLA,2018,162,5,46.15155112223164,57.817109144542776,79.37678494865888,breakout_age,44.699999999999996,48.26693005835912,2.1153789361274846,observed,observed,20.0,0.0,0.0,0.0,backtest
Daurice Fountain,WR,Northern Iowa,2018,159,5,46.79965853300224,25.368731563421832,60.0,breakout_age,79.80000000000001,47.46352435913582,0.6638658261335806,observed,observed,21.0,4.3,0.0,0.0,backtest
Equanimeous St. Brown,WR,Notre Dame,2018,207,6,36.919368987448195,31.563421828908556,60.53287494628277,breakout_age,98.5,45.08527420762304,8.165905220174842,observed,observed,21.0,54.3,0.0,0.0,backtest
Damion Ratley,WR,Texas A&M,2018,175,6,43.39418247364378,15.929203539823009,47.130490452597,breakout_age,90.19999999999999,44.92205931583305,1.527876842189272,observed,observed,22.0,27.4,0.0,0.0,backtest
Deon Cain,WR,Clemson,2018,185,6,41.325810352464025,36.283185840707965,64.38919516851327,breakout_age,64.7,43.823413897243206,2.4976035447791816,observed,observed,21.0,21.4,0.0,0.0,backtest
Marquez Valdes-Scantling,WR,South Florida,2018,174,5,43.60345922205765,7.374631268436578,33.35687981252092,breakout_age,92.6,43.70717474802479,0.1037155259671394,observed,observed,23.0,166.1,0.0,0.0,backtest
Russell Gage,WR,LSU,2018,194,6,39.500337629514114,25.368731563421832,60.0,breakout_age,80.0,42.74896577186854,3.248628142354427,observed,observed,21.0,163.0,0.0,1.0,backtest
