player_name,college,position,height,weight,forty_yard_dash,bench_press,vertical_jump,broad_jump,three_cone,shuttle,RAS_score,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,total_touchdowns,games_played,team_pass_attempts,team_rec_yards,team_rec_tds,rec_yards_share,rec_td_share,dominator_rating,rec_yards_per_team_pass_att,projected_pick,slap_v5_score,dc_score,delta_vs_dc,breakout_age,peak_dominator,teammate_score,early_declare,slap_tier
Braylon James,TCU,WR,,190.0,,,,,,,,,,,,12.0,0.0,0.0,13.0,322.0,3205.0,31.0,0.4,0.0,0.2,0.04,250,2.4,3.9,-1.5,,0.2,0.0,1.0,Long Shot
London Humphreys,Georgia,WR,,200.0,,,,,,,,1.0,7.0,0.0,18.0,276.0,3.0,3.0,14.0,417.0,3083.0,25.0,9.0,12.0,10.5,0.66,250,3.6,3.9,-0.3,,10.5,0.0,1.0,Long Shot
Tyler Brown,Clemson,WR,,,,,,,,,,6.0,71.0,1.0,22.0,191.0,0.0,1.0,13.0,474.0,3481.0,22.0,5.5,0.0,2.7,0.4,250,2.2,3.9,-1.7,,18.9,0.0,0.0,Long Shot
Mikey Matthews,UCLA,WR,,180.0,,,,,,,,1.0,1.0,0.0,33.0,348.0,2.0,2.0,12.0,361.0,2163.0,15.0,16.1,13.3,14.7,0.96,250,5.0,3.9,1.1,,14.7,0.0,1.0,Long Shot
Antonio Gates Jr.,Delaware State,WR,,193.0,,,,,,,,,,,,49.0,0.0,0.0,12.0,378.0,2617.0,13.0,1.9,0.0,0.9,0.13,250,3.0,3.9,-0.9,,5.3,0.0,1.0,Long Shot
C.J. Williams,Stanford,WR,,159.0,,,,,,,,,,,60.0,757.0,6.0,6.0,12.0,391.0,2664.0,14.0,28.4,42.9,35.6,1.94,250,1.6,3.9,-2.3,,35.6,0.0,0.0,Long Shot
Andre Greene Jr.,Virginia,WR,,202.0,,,,,,,,,,,1.0,7.0,0.0,0.0,14.0,492.0,3348.0,18.0,0.2,0.0,0.1,0.01,250,1.0,3.9,-2.9,,1.3,0.0,0.0,Long Shot
Kobe Prentice,Baylor,WR,,190.0,,,,,,,,,,,26.0,380.0,6.0,6.0,12.0,510.0,3715.0,31.0,10.2,19.4,14.8,0.75,250,5.0,3.9,1.1,,14.8,0.0,1.0,Long Shot
Kyion Grayes,California,WR,,190.0,,,,,,,,,,,1.0,10.0,0.0,0.0,13.0,505.0,3579.0,20.0,0.3,0.0,0.1,0.02,250,1.0,3.9,-2.9,,0.3,0.0,0.0,Long Shot
Braylin Presley,Tulsa,WR,,170.0,,,,,,,,32.0,215.0,1.0,18.0,115.0,1.0,2.0,12.0,409.0,2670.0,15.0,4.3,6.7,5.5,0.28,250,3.6,3.9,-0.3,,5.5,0.0,1.0,Long Shot
Talyn Shettron,Oklahoma State,WR,,195.0,,,,,,,,,,,,245.0,1.0,1.0,12.0,365.0,3176.0,22.0,7.7,4.5,6.1,0.67,250,1.0,3.9,-2.9,,6.1,0.0,0.0,Long Shot
Tobias Merriweather,Utah,WR,,195.0,,,,,,,,,,,8.0,130.0,0.0,0.0,13.0,373.0,2816.0,27.0,4.6,0.0,2.3,0.35,250,1.0,3.9,-2.9,,2.3,0.0,0.0,Long Shot
Kaleb Brown,UAB,WR,,200.0,,,,,,,,1.0,5.0,0.0,17.0,255.0,2.0,2.0,12.0,438.0,3187.0,20.0,8.0,10.0,9.0,0.58,250,1.0,3.9,-2.9,,9.0,0.0,0.0,Long Shot
Jayden McGowan,Charlotte,WR,,180.0,,,,,,,,,,,1.0,7.0,0.0,0.0,12.0,379.0,2448.0,14.0,0.3,0.0,0.1,0.02,250,1.0,3.9,-2.9,,0.1,0.0,0.0,Long Shot
