player_name,draft_year,pick,round,college,dc_score,breakout_age,breakout_score,RAS,ras_score,athletic_status,slap_score,slap_percentile,delta,hit24_prob,hit12_prob,best_ppg,career_ppg,hit24,hit12,top24_seasons,hit24_display,hit12_display
DaeSean Hamilton,2018,113,4,Penn St.,7.3,18.0,100,8.09,80.9,observed,50.8,76.0,22.2,19.4,11.0,3.9,3.8,0,0,0,0,0
Jaleel Scott,2018,132,4,New Mexico St.,5.7,18.0,100,7.6,76.0,observed,49.2,62.0,21.4,17.3,10.2,0.2,0.1,0,0,0,0,0
J'Mon Moore,2018,133,4,Missouri,5.6,18.0,100,8.43,84.3,observed,50.4,69.0,22.6,18.8,10.8,0.2,0.2,0,0,0,0,0
Justin Watson,2018,144,5,Pennsylvania,4.8,18.0,100,9.61,96.1,observed,51.8,82.0,24.4,20.7,11.5,6.1,2.9,0,0,0,0,0
Daurice Fountain,2018,159,5,Northern Iowa,3.9,,25,7.98,79.8,observed,22.7,12.0,-4.3,2.1,2.7,0.3,0.3,0,0,0,0,0
Jordan Lasley,2018,162,5,UCLA,3.7,22.0,45,4.47,44.7,observed,24.3,15.0,-2.5,2.4,2.9,0.0,,0,0,0,0,0
Marquez Valdes-Scantling,2018,174,5,South Florida,3.1,18.0,100,9.26,92.6,observed,50.4,69.0,23.8,18.8,10.8,9.8,6.5,0,0,0,0,0
Damion Ratley,2018,175,6,Texas A&M,3.0,20.0,75,9.02,90.2,observed,41.3,47.0,14.8,9.6,6.9,2.2,1.5,0,0,0,0,0
Deon Cain,2018,185,6,Clemson,2.6,20.0,75,6.47,64.7,observed,37.3,38.0,11.0,7.0,5.7,1.3,1.3,0,0,0,0,0
Ray-Ray McCloud,2018,187,6,Clemson,2.5,20.0,75,3.71,37.1,observed,33.1,32.0,6.9,5.0,4.6,8.4,3.4,0,0,0,0,0
Dylan Cantrell,2018,191,6,Texas Tech,2.3,22.0,45,9.86,98.6,observed,31.7,28.000000000000004,5.5,4.4,4.3,0.0,,0,0,0,0,0
Russell Gage,2018,194,6,LSU,2.2,,25,8.0,80.0,observed,21.9,9.0,-4.2,2.0,2.6,10.3,6.8,0,0,0,0,0
Tremon Smith,2018,196,6,Central Arkansas,2.1,18.0,100,,,missing,47.1,59.0,21.1,14.9,9.2,0.0,,0,0,0,0,0
Equanimeous St. Brown,2018,207,6,Notre Dame,1.7,18.0,100,9.85,98.5,observed,50.6,74.0,24.8,19.1,10.9,3.7,2.1,0,0,0,0,0
Cedrick Wilson Jr.,2018,208,6,Boise St.,1.6,18.0,100,,,missing,46.9,56.00000000000001,21.1,14.7,9.1,4.5,4.5,0,0,0,0,0
Braxton Berrios,2018,210,6,Miami (FL),1.5,,25,5.68,56.8,observed,18.0,6.0,-7.8,1.4,2.1,6.8,3.4,0,0,0,0,0
Javon Wims,2018,224,7,Georgia,1.0,,25,5.44,54.4,observed,17.4,3.0,-8.1,1.3,2.0,2.5,1.4,0,0,0,0,0
Marcell Ateman,2018,228,7,Oklahoma St.,0.9,18.0,100,5.18,51.8,observed,43.2,50.0,17.8,11.1,7.6,2.1,1.6,0,0,0,0,0
Richie James,2018,240,7,Middle Tenn. St.,0.5,18.0,100,5.99,59.9,observed,44.2,53.0,19.0,12.0,8.0,9.3,3.6,0,0,0,0,0
Auden Tate,2018,253,7,Florida St.,0.1,18.0,100,1.82,18.2,observed,37.8,41.0,12.8,7.3,5.8,6.0,2.2,0,0,0,0,0
Austin Proehl,2018,255,7,North Carolina,0.1,20.0,75,3.62,36.2,observed,31.7,28.000000000000004,6.7,4.4,4.3,0.0,,0,0,0,0,0
Trey Quinn,2018,256,7,SMU,0.1,22.0,45,7.01,70.1,observed,26.3,18.0,1.3,2.8,3.2,3.0,2.2,0,0,0,0,0
Marquise Brown,2019,25,1,Oklahoma,31.5,19.0,90,,,elite_optout,55.6,100.0,14.8,26.6,13.7,13.3,9.1,1,0,1,1,0
N'Keal Harry,2019,32,1,Arizona St.,26.2,21.0,60,8.44,84.4,observed,46.8,82.0,8.7,14.5,9.0,1.8,1.6,0,0,0,0,0
Deebo Samuel,2019,36,2,South Carolina,23.9,19.0,90,7.91,79.1,observed,55.3,96.0,18.3,26.1,13.5,22.7,12.5,1,1,2,1,1
A.J. Brown,2019,51,2,Mississippi,17.8,19.0,90,8.59,85.9,observed,53.3,89.0,19.4,22.9,12.3,19.6,15.6,1,1,5,1,1
Mecole Hardman,2019,56,2,Georgia,16.3,22.0,45,8.3,83.0,observed,36.3,32.0,3.1,6.5,5.4,10.5,6.2,0,0,0,0,0
JJ Arcega-Whiteside,2019,57,2,Stanford,16.0,21.0,60,,,missing,40.1,50.0,7.1,8.7,6.5,0.0,,0,0,0,0,0
Parris Campbell,2019,59,2,Ohio St.,15.5,19.0,90,9.76,97.6,observed,53.9,93.0,21.1,23.9,12.7,8.8,2.8,0,0,0,0,0
Andy Isabella,2019,62,2,Massachusetts,14.8,21.0,60,7.26,72.6,observed,39.3,43.0,6.9,8.2,6.3,3.2,1.1,0,0,0,0,0
D.K. Metcalf,2019,64,2,Mississippi,14.3,22.0,45,,,missing,34.0,18.0,1.8,5.4,4.8,0.0,,0,0,0,0,0
Diontae Johnson,2019,66,3,Toledo,13.9,19.0,90,4.18,41.8,observed,44.7,71.0,12.7,12.4,8.2,17.0,11.1,1,1,2,1,1
Jalen Hurd,2019,67,3,Baylor,13.7,19.0,90,8.21,82.1,observed,50.7,86.0,18.9,19.2,10.9,0.0,,0,0,0,0,0
Terry McLaurin,2019,76,3,Ohio St.,12.0,22.0,45,9.56,95.6,observed,36.1,28.999999999999996,5.1,6.3,5.3,19.0,13.7,1,1,3,1,1
Miles Boykin,2019,93,3,Notre Dame,9.5,22.0,45,9.94,99.4,observed,35.4,25.0,5.6,6.0,5.1,4.4,1.7,0,0,0,0,0
Hakeem Butler,2019,103,4,Iowa St.,8.3,22.0,45,9.47,94.7,observed,34.1,21.0,4.9,5.4,4.8,0.0,0.0,0,0,0,0,0
Gary Jennings Jr,2019,120,4,West Virginia,6.6,19.0,90,,,missing,45.9,79.0,17.6,13.6,8.7,0.0,,0,0,0,0,0
Riley Ridley,2019,126,4,Georgia,6.1,19.0,90,4.53,45.3,observed,41.3,54.0,13.3,9.6,6.9,0.8,0.8,0,0,0,0,0
Hunter Renfrow,2019,149,5,Clemson,4.5,19.0,90,2.91,29.1,observed,38.1,39.0,10.9,7.5,5.9,16.1,7.9,1,1,1,1,1
Darius Slayton,2019,171,5,Auburn,3.2,22.0,45,8.91,89.1,observed,30.7,14.000000000000002,4.1,4.1,4.1,10.0,7.7,0,0,0,0,0
KeeSean Johnson,2019,174,6,Fresno St.,3.1,19.0,90,3.18,31.8,observed,37.8,36.0,11.2,7.3,5.8,2.7,2.3,0,0,0,0,0
Travis Fulgham,2019,184,6,Old Dominion,2.6,19.0,90,8.01,80.1,observed,44.8,75.0,18.5,12.5,8.2,6.8,3.4,0,0,0,0,0
Juwann Winfree,2019,187,6,Colorado,2.5,22.0,45,7.14,71.4,observed,27.7,7.000000000000001,1.5,3.2,3.5,0.7,0.3,0,0,0,0,0
Marcus Green,2019,203,6,La-Monroe,1.8,19.0,90,7.22,72.2,observed,43.2,61.0,17.3,11.1,7.6,0.0,,0,0,0,0,0
Kelvin Harmon,2019,206,6,North Carolina St.,1.7,21.0,60,4.88,48.8,observed,29.2,11.0,3.4,3.6,3.8,3.9,3.9,0,0,0,0,0
Scott Miller,2019,208,6,Bowling Green,1.6,19.0,90,7.76,77.6,observed,43.9,68.0,18.1,11.7,7.9,7.1,2.8,0,0,0,0,0
John Ursua,2019,236,7,Hawaii,0.6,22.0,45,6.44,64.4,observed,25.7,4.0,0.4,2.7,3.1,0.1,0.1,0,0,0,0,0
Terry Godwin,2019,237,7,Georgia,0.6,19.0,90,5.26,52.6,observed,39.7,46.0,14.4,8.5,6.4,0.4,0.4,0,0,0,0,0
Dillon Mitchell,2019,239,7,Oregon,0.6,19.0,90,7.96,79.6,observed,43.7,64.0,18.4,11.5,7.8,0.0,,0,0,0,0,0
Olabisi Johnson,2019,247,7,Colorado St.,0.3,19.0,90,,,missing,42.7,56.99999999999999,17.5,10.7,7.4,4.9,3.4,0,0,0,0,0
Henry Ruggs III,2020,12,1,Alabama,51.7,20.0,75,9.54,95.4,observed,66.4,100.0,15.6,47.9,22.0,0.0,,0,0,0,0,0
Jerry Jeudy,2020,15,1,Alabama,44.8,20.0,75,6.76,67.6,observed,58.8,94.0,11.4,32.3,15.8,14.2,9.7,1,0,1,1,0
CeeDee Lamb,2020,17,1,Oklahoma,41.2,19.0,90,7.44,74.4,observed,63.3,97.0,17.7,41.3,19.3,25.0,17.4,1,1,4,1,1
Jalen Reagor,2020,21,1,TCU,35.6,20.0,75,6.03,60.3,observed,53.1,86.0,10.3,22.6,12.2,4.8,2.6,0,0,0,0,0
Justin Jefferson,2020,22,1,LSU,34.5,20.0,75,9.69,96.9,observed,58.0,91.0,15.8,30.9,15.3,22.3,17.8,1,1,4,1,1
Brandon Aiyuk,2020,25,1,Arizona St.,31.5,21.0,60,8.47,84.7,observed,49.5,80.0,8.7,17.7,10.3,16.4,11.4,1,1,2,1,1
Tee Higgins,2020,33,2,Clemson,25.5,20.0,75,4.12,41.2,observed,45.2,64.0,7.4,12.9,8.4,16.5,12.8,1,1,3,1,1
Michael Pittman Jr.,2020,34,2,USC,25.0,20.0,75,8.27,82.7,observed,51.2,83.0,13.7,19.9,11.2,0.0,,0,0,0,0,0
