player_name,position,school,draft_year,pick,round,slap_v5,slap_v4,dc_score,enhanced_breakout,teammate_score,early_declare_score,delta_v5_dc,delta_v5_v4,breakout_age,peak_dominator,rush_yards,nfl_hit24,nfl_hit12,nfl_first_3yr_ppg,nfl_career_ppg,nfl_best_ppr,data_type,production_score,speed_score_norm,rec_yards,team_pass_att,weight,forty,nfl_best_ppg
Mike Weber,RB,Ohio St.,2019,218,7,28.9,32.1,34.8,,,,-5.9,-3.2,,,,0,0,,,0.0,backtest,12.0,53.8,112.0,559.0,211.0,4.47,0.0
Chandler Cox,RB,Auburn,2019,233,7,27.4,30.2,31.9,,,,-4.6,-2.8,,,,0,0,,,0.0,backtest,12.1,59.3,81.0,382.0,242.0,,0.0
Cullen Gillaspia,RB,Texas A&M,2019,220,7,26.9,29.4,34.4,,,,-7.5,-2.5,,,,0,0,,,0.0,backtest,6.4,52.5,52.0,439.0,235.0,,0.0
Myles Gaskin,RB,Washington,2019,234,7,25.4,28.8,31.7,,,,-6.4,-3.4,,,,0,0,,,173.6,backtest,11.4,26.6,77.0,405.0,205.0,4.58,10.211764705882352
Antonio Gibson,RB,Memphis,2020,66,3,80.1,80.0,70.2,,,,10.0,0.1,,,,1,0,13.271111111111107,10.20722891566265,229.1,backtest,99.9,91.0,735.0,441.0,228.0,4.39,13.476470588235296
Clyde Edwards-Helaire,RB,LSU,2020,32,1,69.5,66.6,81.8,,,,-12.3,2.9,,,,1,0,11.875757575757577,9.157692307692308,194.4,backtest,50.2,25.0,453.0,567.0,207.0,4.6,11.43529411764706
Jonathan Taylor,RB,Wisconsin,2020,41,2,68.9,69.3,78.4,,,,-9.5,-0.4,,,,1,1,17.96046511627907,18.30595238095238,373.1,backtest,45.1,88.6,252.0,351.0,226.0,4.39,21.947058823529414
Zack Moss,RB,Utah,2020,86,3,65.2,61.8,64.4,,,,0.8,3.4,,,,0,0,6.956410256410257,8.570491803278689,169.6,backtest,72.5,31.4,388.0,321.0,223.0,4.65,9.976470588235294
D'Andre Swift,RB,Georgia,2020,35,2,64.9,63.1,80.6,,,,-15.8,1.8,,,,1,0,14.745,13.879775280898878,214.5,backtest,32.7,52.9,216.0,415.0,212.0,4.48,12.617647058823527
AJ Dillon,RB,Boston Col.,2020,62,2,61.9,59.1,71.4,,,,-9.5,2.8,,,,0,0,,6.128571428571428,117.6,backtest,38.4,79.1,195.0,305.0,247.0,4.53,6.91764705882353
J.K. Dobbins,RB,Ohio St.,2020,55,2,61.4,60.2,73.6,,,,-12.2,1.2,,,,1,0,10.856521739130434,12.10851063829787,194.4,backtest,38.2,41.7,247.0,406.0,209.0,,11.43529411764706
Cam Akers,RB,Florida St.,2020,52,2,61.3,61.9,74.6,,,,-13.3,-0.6,,,,0,0,9.162962962962965,7.784,146.0,backtest,32.7,60.4,225.0,432.0,217.0,4.47,8.588235294117647
Ke'Shawn Vaughn,RB,Illinois,2020,76,3,58.3,55.5,67.2,,,,-8.9,2.7,,,,0,0,4.123529411764706,3.343478260869566,50.8,backtest,40.5,48.9,270.0,381.0,214.0,4.51,2.988235294117647
Darrynton Evans,RB,Appalachian St.,2020,93,3,53.2,56.2,62.5,,,,-9.4,-3.0,,,,0,0,3.825,4.06,30.0,backtest,32.2,57.4,198.0,369.0,203.0,4.41,1.7647058823529411
La'Mical Perine,RB,Florida,2020,120,4,47.8,47.5,55.7,,,,-7.9,0.3,,,,0,0,5.054545454545455,5.3538461538461535,52.5,backtest,33.7,30.2,262.0,467.0,216.0,4.62,3.088235294117647
Anthony McFarland Jr.,RB,Maryland,2020,124,4,45.1,45.1,54.7,,,,-9.7,-0.0,,,,0,0,2.228571428571428,2.286666666666666,0.0,backtest,22.1,56.7,126.0,342.0,208.0,4.44,0.0
Joshua Kelley,RB,UCLA,2020,112,4,43.0,43.7,57.7,,,,-14.6,-0.7,,,,0,0,4.9393939393939394,4.409803921568627,81.2,backtest,10.0,50.8,71.0,426.0,212.0,4.49,4.776470588235294
