rank,player_name,school,projected_pick,age,slap_score,dc_score,breakout_score,ras_score,delta_vs_dc,breakout_status,ras_status,breakout_age_raw,position,production_score,production_status,rec_yards,receptions,team_pass_att,season_year,school_used,overall_rank
29,Byron Cardwell,San Diego State,250,22,31.673223307726445,28.79046960395864,,66.5,2.882753703767804,,imputed,,RB,20.86568144499179,final_season,108.0,5.0,290.0,2025.0,San Diego State,132
30,Kadarius Calloway,New Mexico State,250,22,31.637890169210955,28.79046960395864,,66.5,2.847420565252314,,imputed,,RB,20.76472962066182,final_season,175.0,26.0,472.0,2025.0,New Mexico State,133
104,Vinny Anthony II,Wisconsin,224,MISSING,31.603332867762436,0.5366657355248734,60.0,68.9,31.066667132237562,observed,imputed,21.0,WR,,,,,,,,134
105,Caullin Lacy,Louisville,231,23,31.548967089668505,0.4279341793370069,60.0,68.9,31.121032910331497,observed,imputed,21.0,WR,,,,,,,,135
107,Kendrick Law,Kentucky,250,22,31.41309187632361,0.1561837526472186,60.0,68.9,31.25690812367639,observed,imputed,21.0,WR,,,,,,,,136
106,Colbie Young,Georgia,250,23,31.41309187632361,0.1561837526472186,60.0,68.9,31.25690812367639,observed,imputed,21.0,WR,,,,,,,,137
31,Rueben Owens,Texas A&M,250,MISSING,30.522195586293044,28.79046960395864,,66.5,1.7317259823344031,,imputed,,RB,17.577030812324928,final_season,130.0,13.0,408.0,2025.0,Texas A&M,138
32,Seth McGowan,Kentucky,250,23,30.315993203432548,28.79046960395864,,66.5,1.5255235994739067,,imputed,,RB,16.98788114700921,final_season,126.0,19.0,367.0,2025.0,Kentucky,139
33,Dominic Richardson,Tulsa,250,23,29.825328526510695,28.79046960395864,,66.5,1.0348589225520541,,imputed,,RB,15.585982070089653,final_season,130.0,20.0,409.0,2025.0,Tulsa,140
34,Rahsul Faison,South Carolina,250,25,29.610468720107974,28.79046960395864,,66.5,0.819999116149333,,imputed,,RB,14.972096908939015,final_season,118.0,19.0,342.0,2025.0,South Carolina,141
35,C.J. Donaldson,Ohio State,242,MISSING,29.47357507385218,30.25989524574358,,66.5,-0.786320171891397,,imputed,,RB,12.481792717086837,final_season,96.0,15.0,408.0,2025.0,Ohio State,142
36,Robert Henry Jr.,UTSA,250,MISSING,29.161286256118025,28.79046960395864,,66.5,0.37081665215938386,,imputed,,RB,13.688718440396292,final_season,114.0,18.0,447.0,2025.0,UTSA,143
37,Jamarion Miller,Alabama,246,21,28.97583163261598,29.522912468546167,,66.5,-0.5470808359301884,,imputed,,RB,12.112501138122552,final_season,109.0,19.0,523.0,2025.0,Alabama,144
38,Savion Red,Nevada,250,21,28.463021687225222,28.79046960395864,,66.5,-0.3274479167334192,,imputed,,RB,11.69367681498829,no_final_season_data,74.0,16.0,366.0,2024.0,Nevada,145
39,Jalen Berger,UCLA,250,24,27.023235725340356,28.79046960395864,,66.5,-1.7672338786182848,,imputed,,RB,7.580002638174384,final_season,70.0,10.0,361.0,2025.0,UCLA,146
40,Kentrel Bullock,South Alabama,250,23,26.996406844990076,28.79046960395864,,66.5,-1.7940627589685647,,imputed,,RB,7.503348694316436,final_season,53.0,14.0,310.0,2025.0,South Alabama,147
41,Jaylon Glover,UNLV,250,21,26.535030399463594,28.79046960395864,,66.5,-2.2554392044950475,,imputed,,RB,6.185130278526505,final_season,51.0,6.0,424.0,2025.0,UNLV,148
42,Andrew Paul,Jacksonville State,250,21,25.784848623117533,28.79046960395864,,66.5,-3.0056209808411083,,imputed,,RB,4.041753774680604,final_season,29.0,2.0,328.0,2025.0,Jacksonville State,149
43,Logan Diggs,Ole Miss,250,23,25.765824349461795,28.79046960395864,,66.5,-3.0246452544968463,,imputed,,RB,3.98739870709278,final_season,56.0,7.0,523.0,2025.0,Ole Miss,150
44,Kaelon Black,Indiana,250,23,25.411351386544183,28.79046960395864,,66.5,-3.379118217414458,,imputed,,RB,2.9746188130424587,final_season,36.0,4.0,406.0,2025.0,Indiana,151
45,Cam Porter,Northwestern,250,MISSING,25.005684537429055,28.79046960395864,,66.5,-3.7847850665295866,,imputed,,RB,1.8155706727135297,final_season,23.0,3.0,378.0,2025.0,Northwestern,152
46,Terion Stewart,Virginia Tech,250,23,24.85071547073585,28.79046960395864,,66.5,-3.9397541332227917,,imputed,,RB,1.372801910732945,final_season,19.0,4.0,319.0,2025.0,Virginia Tech,153
47,Branson Robinson,Georgia State,250,21,24.79384181952318,28.79046960395864,,66.5,-3.9966277844354607,,imputed,,RB,1.2103057644110278,final_season,22.0,5.0,475.0,2025.0,Georgia State,154
48,Roydell Williams,Florida State,250,23,24.783037161861326,28.79046960395864,,66.5,-4.007432442097315,,imputed,,RB,1.1794353139485882,final_season,19.0,2.0,339.0,2025.0,Florida State,155
49,E.J. Smith,Texas A&M,250,23,24.553274017665593,28.79046960395864,,66.5,-4.237195586293048,,imputed,,RB,0.5229691876750703,final_season,18.0,4.0,408.0,2025.0,Texas A&M,156
50,Djay Braswell,Georgia State,250,MISSING,24.469462872154757,28.79046960395864,,66.5,-4.321006731803884,,imputed,,RB,0.2835087719298244,final_season,17.0,7.0,475.0,2025.0,Georgia State,157
51,Max Bredeson,Michigan,250,22,24.395921076489124,28.79046960395864,,66.5,-4.394548527469517,,imputed,,RB,0.0733893557422971,final_season,11.0,2.0,340.0,2025.0,Michigan,158
53,Kedrick Reescano,Arizona,250,MISSING,24.370234801979322,28.79046960395864,,66.5,-4.420234801979319,,imputed,,RB,0.0,final_season,12.0,3.0,447.0,2025.0,Arizona,159
52,Le'Veon Moss,Texas A&M,250,22,24.370234801979322,28.79046960395864,,66.5,-4.420234801979319,,imputed,,RB,0.0,final_season,3.0,2.0,408.0,2025.0,Texas A&M,160
54,Trevion Cooley,Georgia Tech,250,MISSING,24.370234801979322,28.79046960395864,,66.5,-4.420234801979319,,imputed,,RB,0.0,no_final_season_data,4.0,1.0,410.0,2024.0,Georgia Tech,161
