player_name,draft_year,pick,breakout_age,peak_dominator,score_current,score_option_a,score_option_b,score_option_c,best_ppr,hit24,dc_score
Devin Duvernay,2020,92,21.0,36.9,60,61.0,70.0,65.0,110.1,0,62.79411750331776
Isaiah McKenzie,2017,172,21.0,37.61,60,61.0,70.0,65.0,122.8,0,44.02338900352743
Danny Gray,2022,105,21.0,22.0,60,61.0,70.0,65.0,2.9,0,59.41186469623246
Chris Godwin,2017,84,21.0,239.6,60,65.188,70.0,69.87542857142857,276.1,1,64.96615833500175
Kenny Golladay,2017,96,21.0,277.72,60,66.3316,70.0,70.85565714285714,248.0,1,61.73512832043268
Amara Darboh,2017,106,21.0,169.4,60,63.082,70.0,68.07028571428572,15.1,0,59.158487311545166
Chad Hansen,2017,141,21.0,39.82,60,61.0,70.0,65.0,46.6,0,50.79080422061093
Antoine Green,2023,219,21.0,18.4,60,61.0,70.0,65.0,1.2,0,34.591116608286086
Brian Thomas,2024,23,21.0,26.7,60,61.0,70.0,65.0,284.0,1,85.63195232697663
Jameson Williams,2022,12,21.0,31.0,60,61.0,70.0,65.0,227.2,1,91.19779246495472
Wan'Dale Robinson,2022,43,21.0,45.5,60,61.0,70.0,65.0,182.7,0,77.68493914356304
Dede Westbrook,2017,110,21.0,153.53,60,62.6059,70.0,67.6622,175.5,0,58.15392954892286
Mack Hollins,2017,118,21.0,173.84,60,63.2152,70.0,68.18445714285714,154.0,0,56.18551835350469
JuJu Smith-Schuster,2017,62,21.0,300.0,60,67.0,70.0,71.42857142857143,296.90000000000003,1,71.3905481598709
Samori Toure,2022,258,21.0,28.1,60,61.0,70.0,65.0,19.2,0,27.338807564968334
Simi Fehoko,2021,179,21.0,33.8,60,61.0,70.0,65.0,16.6,0,42.56157955714502
Shi Smith,2021,204,21.0,33.2,60,61.0,70.0,65.0,61.6,0,37.50937673477087
N'Keal Harry,2019,32,21.0,275.44,60,66.2632,70.0,70.79702857142857,30.4,0,81.82194951930317
Dax Milne,2021,258,21.0,29.8,60,61.0,70.0,65.0,15.7,0,27.338807564968334
Jordan Addison,2023,23,21.0,18.6,60,61.0,70.0,65.0,221.3,1,85.63195232697663
Jonathan Mingo,2023,39,21.0,27.6,60,61.0,70.0,65.0,84.8,0,79.1367012454148
Jalin Hyatt,2023,73,21.0,29.9,60,61.0,70.0,65.0,60.3,0,68.08599462283559
Terrace Marshall Jr.,2021,59,21.0,23.4,60,61.0,70.0,65.0,32.900000000000006,0,72.3295803529313
Amari Rodgers,2021,85,21.0,24.4,60,61.0,70.0,65.0,43.1,0,64.69048249230454
Anthony Schwartz,2021,91,21.0,26.9,60,61.0,70.0,65.0,33.4,0,63.061580711070775
Tre Tucker,2023,100,21.0,21.3,60,61.0,70.0,65.0,129.3,0,60.69278011001499
Charlie Jones,2023,131,21.0,34.9,60,61.0,70.0,65.0,14.7,0,53.091766375709646
Tyler Scott,2023,133,21.0,28.5,60,61.0,70.0,65.0,35.900000000000006,0,52.626376413965254
DeAndre Smelter,2015,132,21.0,169.95,60,63.0985,70.0,68.08442857142857,3.3000000000000003,0,52.85873645151093
Jauan Jennings,2020,217,21.0,33.7,60,61.0,70.0,65.0,210.5,0,34.97572633033664
Kelvin Harmon,2019,206,21.0,239.74,60,65.1922,70.0,69.87902857142858,66.5,0,37.115674968761425
Kadarius Toney,2021,20,21.0,21.7,60,61.0,70.0,65.0,81.6,0,87.02377097693456
Andy Isabella,2019,62,21.0,412.9,60,70.0,70.0,74.0,54.8,0,71.3905481598709
Brandon Aiyuk,2020,25,21.0,36.8,60,61.0,70.0,65.0,279.1,1,84.74230353324101
John Hightower,2020,168,21.0,25.7,60,61.0,70.0,65.0,28.8,0,44.86885780479906
Vince Mayle,2015,123,21.0,66.27,60,61.0,70.0,65.41837142857143,6.2,0,54.980997846306835
Adonai Mitchell,2024,52,21.0,20.9,60,61.0,70.0,65.0,52.8,0,74.59433316596373
Trey Palmer,2023,191,21.0,39.4,60,61.0,70.0,65.0,114.4,0,40.10518084262188
Jermaine Burton,2024,80,21.0,25.9,60,61.0,70.0,65.0,14.7,0,66.0815727265999
Quintez Cephus,2020,166,21.0,32.2,60,61.0,70.0,65.0,66.9,0,45.29445820618241
Andrei Iosivas,2023,206,22.0,,45,55.5,60.0,59.5,119.9,0,37.115674968761425
Colton Dowell,2023,228,22.0,39.62,45,51.0,60.0,55.0,1.3,0,32.876624975929246
DJ Chark,2018,61,22.0,,45,55.5,60.0,59.5,115.5,0,71.70160008687043
Michael Gallup,2018,81,22.0,,45,55.5,60.0,59.5,212.7,0,65.80076958583709
Keke Coutee,2018,103,22.0,16.94,45,51.0,60.0,55.0,90.7,0,59.92138766628686
Trey Quinn,2018,256,22.0,13.31,45,51.0,60.0,55.0,51.8,0,27.70010003873648
Miles Boykin,2019,93,22.0,192.11,45,53.7633,60.0,58.65425714285714,74.6,0,62.52775678229379
Mecole Hardman,2019,56,22.0,148.6,45,52.458,60.0,57.53542857142857,178.5,0,73.28694247866397
Terry McLaurin,2019,76,22.0,119.68,45,51.5904,60.0,56.79177142857143,322.5,1,67.21839332711826
Darius Slayton,2019,171,22.0,133.51,45,52.0053,60.0,57.1474,170.0,0,44.2340493948423
Juwann Winfree,2019,187,22.0,77.33,45,51.0,60.0,55.70277142857143,11.8,0,40.917284913571535
John Ursua,2019,236,22.0,246.42,45,55.3926,60.0,60.050799999999995,2.1,0,31.374110141410995
