player_name,position,draft_year,pick,seasons_played,best_rank,best_ppr,hit24,hit12,RAS,breakout_age,has_ras,best_ppg,log_pick,round,p_observed,ipw,ipw_stable,p_missing,ps_stratum,dc_raw,dc_norm,breakout_score,breakout_norm,ras_norm,slap_mnar,athletic_method,ras_naive,ras_naive_norm,slap_naive
Jahan Dotson,WR,2022,16,3,54.0,130.6,0,0,6.33,20.0,1,7.68235294117647,2.772588722239781,Rd 1,0.7791864469333762,1.2833898791947342,1.2833898791947342,0.2208135530666237,Q5-High,0.25,75.58864851334988,75,54.931407087366345,39.03629507020226,62.8757609977835,RAS observed,6.33,38.08119615809568,62.732496160967514
Treylon Burks,WR,2022,18,3,83.0,88.1,0,0,5.79,19.0,1,5.18235294117647,2.8903717578961645,Rd 1,0.7848766766737091,1.2740855088699783,1.2740855088699783,0.2151233233262909,Q5-High,0.23570226039551587,72.7165392176075,90,63.62218280635726,34.51628355983651,63.803476125004266,RAS observed,5.79,33.16742559420721,63.60114743015987
Christian Watson,WR,2022,34,3,43.0,164.10000000000002,0,0,9.96,,1,9.65294117647059,3.526360524616161,Rd 2,0.8137517237265355,1.2288760451659013,1.2288760451659013,0.18624827627346457,Q5-High,0.17149858514250882,59.81939759830194,25,25.96215469072998,69.42081688988313,49.40957547438893,RAS observed,9.96,71.11265383756819,49.6633510165417
Wan'Dale Robinson,WR,2022,43,3,39.0,182.7,0,0,7.36,20.0,1,10.74705882352941,3.7612001156935624,Rd 2,0.8236297710916758,1.2141377535133961,1.2141377535133961,0.17637022890832416,Q4,0.15249857033260467,56.00270204611453,75,54.931407087366345,47.65779850664063,54.37601327963158,RAS observed,7.36,47.45375852995703,54.345407283129035
John Metchie,WR,2022,44,2,101.0,65.7,0,0,,21.0,0,3.864705882352941,3.784189633918261,Rd 2,0.8245743095927872,1.212746975459187,1.212746975459187,0.1754256904072128,Q4,0.15075567228888181,55.65259120262584,60,46.24063136837544,,51.774863750914676,Pattern mixture (opt-out),7.639819819819819,49.99999999999999,51.51051658024433
Tyquan Thornton,WR,2022,50,3,100.0,66.3,0,0,8.54,18.0,1,3.9,3.912023005428146,Rd 2,0.8297538550658926,1.205176684500716,1.205176684500716,0.17024614493410742,Q4,0.1414213562373095,53.77752726645582,100,69.41603328568453,57.534860695958365,59.81460438761125,RAS observed,8.54,58.191257169565155,59.913063858652265
George Pickens,WR,2022,52,3,29.0,218.3,0,0,9.35,18.0,1,12.841176470588236,3.951243718581427,Rd 2,0.8313184336996041,1.2029084878458844,1.2029084878458844,0.1686815663003959,Q4,0.1386750490563073,53.22585304369639,100,69.41603328568453,64.314877961507,60.55576986606383,RAS observed,9.35,65.56191301539786,60.74282512414746
Alec Pierce,WR,2022,53,3,43.0,161.4,0,0,9.83,19.0,1,9.494117647058824,3.9702919135521215,Rd 2,0.8320741530363523,1.201815963578322,1.201815963578322,0.16792584696364765,Q4,0.13736056394868904,52.961801172481636,90,63.62218280635726,68.332665970721,58.99856446407401,RAS observed,9.83,69.92970907218762,59.238120929294
Skyy Moore,WR,2022,54,3,104.0,62.8,0,0,7.58,18.0,1,3.6941176470588233,3.988984046564274,Rd 2,0.8328131164075818,1.2007495803063173,1.2007495803063173,0.16718688359241818,Q4,0.13608276348795434,52.7051184601857,100,69.41603328568453,49.499284677530376,58.07306358171199,RAS observed,7.58,49.45566505598566,58.066520638480284
Velus Jones Jr.,WR,2022,71,3,105.0,38.0,0,0,7.1,24.0,1,2.235294117647059,4.2626798770413155,Rd 3,0.8433372024628035,1.1857653108148116,1.1857653108148116,0.1566627975371965,Q4,0.11867816581938533,49.208908000675336,15,20.16830421140271,45.481496668316375,38.48558497457607,RAS observed,7.1,45.087868999195905,38.426540824208004
