player_id,player_display_name,position,recent_team,games,receptions,targets,receiving_yards,receiving_tds,carries,rushing_yards,rushing_tds,fantasy_points_ppr,season,fantasy_ppg
00-0037261,Khalil Shakir,WR,BUF,16,72.0,97.0,686.0,4.0,1.0,5.0,0.0,165.1,2025,10.31875
00-0037263,Tyler Allgeier,RB,ATL,17,14.0,16.0,96.0,0.0,143.0,514.0,8.0,123.0,2025,7.235294117647059
00-0037267,Jerome Ford,RB,CLE,13,26.0,32.0,103.0,0.0,24.0,73.0,0.0,43.6,2025,3.353846153846154
00-0037276,Ty Chandler,RB,MIN,2,3.0,4.0,11.0,0.0,17.0,47.0,0.0,8.8,2025,4.4
00-0037291,Jalen Nailor,WR,MIN,17,29.0,54.0,444.0,4.0,2.0,13.0,0.0,98.7,2025,5.805882352941176
00-0037329,Brittain Brown,RB,CHI,1,0.0,1.0,0.0,0.0,5.0,37.0,1.0,9.7,2025,9.7
00-0037487,Deven Thompkins,WR,ATL,2,3.0,3.0,27.0,0.0,1.0,5.0,0.0,6.200000000000001,2025,3.1000000000000005
00-0037524,Tay Martin,WR,WAS,2,2.0,2.0,23.0,0.0,0.0,0.0,0.0,4.300000000000001,2025,2.1500000000000004
00-0037525,Jordan Mason,RB,MIN,16,14.0,16.0,51.0,0.0,159.0,758.0,6.0,130.9,2025,8.18125
00-0037545,Rashid Shaheed,WR,SEA,18,59.0,92.0,687.0,2.0,9.0,69.0,0.0,146.6,2025,8.144444444444444
00-0037557,Ronnie Rivers,RB,LA,2,0.0,0.0,0.0,0.0,9.0,46.0,0.0,4.6000000000000005,2025,2.3000000000000003
00-0037563,Malik Davis,RB,DAL,9,2.0,5.0,16.0,0.0,52.0,250.0,2.0,40.6,2025,4.511111111111111
00-0037594,Julius Chestnut,RB,TEN,7,0.0,2.0,0.0,0.0,11.0,40.0,0.0,4.0,2025,0.5714285714285714
00-0037614,John Metchie III,WR,NYJ,12,33.0,48.0,274.0,2.0,3.0,-5.0,0.0,71.9,2025,5.991666666666667
00-0037617,Hassan Haskins,RB,LAC,5,4.0,4.0,13.0,0.0,17.0,47.0,0.0,10.0,2025,2.0
00-0037664,Alec Pierce,WR,IND,15,47.0,84.0,1003.0,6.0,0.0,0.0,0.0,183.3,2025,12.22
00-0037666,Jalen Tolbert,WR,DAL,11,18.0,35.0,203.0,1.0,0.0,0.0,0.0,44.3,2025,4.027272727272727
00-0037740,Garrett Wilson,WR,NYJ,7,36.0,60.0,395.0,4.0,0.0,0.0,0.0,99.5,2025,14.214285714285714
00-0037741,Jahan Dotson,WR,PHI,14,18.0,36.0,262.0,1.0,0.0,0.0,0.0,50.2,2025,3.585714285714286
00-0037742,Treylon Burks,WR,WAS,8,10.0,22.0,130.0,1.0,0.0,0.0,0.0,29.0,2025,3.625
00-0037745,Velus Jones Jr.,RB,SEA,1,0.0,0.0,0.0,0.0,4.0,32.0,0.0,3.2,2025,3.2
00-0037746,Brian Robinson,RB,SF,16,8.0,12.0,25.0,0.0,92.0,400.0,2.0,62.5,2025,3.90625
00-0037801,KaVontae Turpin,WR,DAL,15,26.0,38.0,396.0,2.0,17.0,89.0,0.0,86.5,2025,5.766666666666667
00-0037816,Romeo Doubs,WR,GB,16,55.0,86.0,724.0,6.0,0.0,0.0,0.0,163.4,2025,10.2125
00-0037837,Calvin Austin III,WR,PIT,14,31.0,55.0,372.0,3.0,0.0,0.0,0.0,86.2,2025,6.1571428571428575
00-0037840,Kyren Williams,RB,LA,17,36.0,50.0,281.0,3.0,259.0,1252.0,10.0,267.3,2025,15.723529411764707
00-0038040,Zamir White,RB,LV,5,4.0,6.0,24.0,0.0,12.0,32.0,0.0,9.6,2025,1.92
00-0038090,Skyy Moore,WR,SF,9,5.0,7.0,87.0,0.0,2.0,11.0,0.0,14.8,2025,1.6444444444444446
00-0038104,Tyquan Thornton,WR,KC,11,19.0,37.0,438.0,3.0,0.0,0.0,0.0,80.8,2025,7.345454545454545
00-0038117,Wan'Dale Robinson,WR,NYG,16,92.0,141.0,1014.0,4.0,3.0,5.0,0.0,217.9,2025,13.61875
00-0038120,Breece Hall,RB,NYJ,16,36.0,48.0,350.0,1.0,243.0,1065.0,4.0,207.5,2025,12.96875
00-0038124,Christian Watson,WR,GB,10,35.0,55.0,611.0,6.0,1.0,3.0,0.0,132.4,2025,13.24
00-0038134,Kenneth Walker III,RB,SEA,17,31.0,36.0,282.0,0.0,221.0,1027.0,5.0,191.9,2025,11.288235294117648
00-0038359,Xavier Smith,WR,LA,10,18.0,24.0,303.0,0.0,0.0,0.0,0.0,48.300000000000004,2025,4.83
00-0038393,Dontayvion Wicks,WR,GB,13,30.0,46.0,332.0,2.0,1.0,6.0,0.0,75.8,2025,5.8307692307692305
00-0038397,Evan Hull,RB,NO,6,1.0,1.0,6.0,0.0,19.0,48.0,0.0,6.4,2025,1.0666666666666667
00-0038440,Zavier Scott,RB,MIN,9,14.0,16.0,98.0,1.0,32.0,114.0,0.0,41.2,2025,4.577777777777778
